CL FUENTE	carrer de la Font
CL FUENTE FORNA	Carrer la Font
CL NUEVA	carrer Nou
CL PUENTE	carrer del Pont
CL SECTOR DOS	Carer Sector Dos
CL SECTOR UNO	Carrer Sector Uno
CL QUINTANA	Carrer Quintana
CL VILLALONGA	Carrer Villalonga
CL PERERA	Carrer la Perera
CL PLAZA LA	Carrer la Plaça
UR BASSETES LES	urbanització Les Bassetes
UR ADSUBI PINOS	Urbanització l'Atzúbia Pinos
CL ARRABAL	carrer Arrabal
CL LEPANTO	carrer Lepanto
CL PRINCIPAL	carrer Principal
CL TORRES ORDUÑA	carrer de los Torres Orduña
CL SOLANA	carrer la Solana
