AV MOSQUERA	Plaça Mosquera
CL VALL DEL POP	Avinguda Vall del Pop
CL AMISTAD LA- LLOSA CAMACHO	Carrer de l'Amistat
CM AZAHAR	Calle Azahar
CL BENISSA-LLOSA DE CAMACHO	Carrer Benissa
CL CALVARI	Carrer Calvari
CL DENIA-LLOSA DE CAMACHO	Carrer Dénia
CL ESCUELAS	Passeig de les Escoles
CL FUENTE - LLOSA DE CAMACHO	Carrer de la Font
CL IGLESIA	Carrer de l'Església
CL ENCINA LA	Calle La Encina
CL VIÑAS LAS	Calle Las Viñas
CL ALCORNOQUES LOS	Calle Los Alcornoques
CL ALGARROBOS LOS	Calle Los Algarrobos
CL BENARROSA	Calle Los Algarrobos
CL LOS CIPRESES	Calle Los Cipreses
CL LOS NARANJOS	Calle Los Naranjos
CL OLIVOS LOS	Calle Los Olivos
CL PINOS LOS	Calle Los Pinos
CL ROBLES LOS	Calle Los Robles
CL LOS ROMEROS	Calle Los Romeros
CL TULIPANES LOS	Calle Los Tulipanes
CL MAYOR-LA LLOSA	Carrer Major
CL ERMITA	Passeig de l'Ermita
CL CALZADA ROMANA	Calçada Romana / Calzada Romana
CM MONTE	Camino Monte
CL ALT	Carrer Alt
CL BARONS ROIS DE LIHORI	Carrer Barons de Ruiz de Lihori
CL COSTERETA	Carrer Costereta
CL JESUS	Carrer Jesús
CL MAJOR	Carrer Major
CL NOU	Carrer Nou
CL RASET	Carrer Raset
CL SANT JOSEP	Carrer Sant Josep
CL SOLO	Carrer Solo
CL VALENT	Carrer Valent
CL PONENT	Carrer de Ponent
CL SALAMANCA	Carrer de Salamanca
CL ALEGRIA-LLOSA DE CAMACHO	Carrer de l'Alegria
CL PENYETES, DE LES	Carrer de les Penyetes
CL FORN	Carrer del Forn
CL FORN DEL	Travessia del Forn
CL MIG,DEL	Carrer del Mig
CL PORXE, DEL	Carrer del Porxe
CL RAVALET	Carrer del Ravalet
CL SEQUERET, DEL	Carrer del Sequeret
CL ALMELLERS, ELS	Carrer els Ametlers
CL ESCOLES, DE LES	Carrer les Escoles
CL PARRES, LES	Carrer les Parres
CR ORBA	Carretera d'Orba
LG CUMBRES DE ALCALALI	 urbanización Cumbres de Alcalali
PD ALDEA DE CUEVAS	Urbanització Aldea de les Coves
PD BUFERA	La Bufera
PD CASA MESTRE	Casa Mestre
PD PLA, EL	els Plans
PD SOLANA LA LLOSA	Solana de la Llosa
PS POU DEL	Passeig del Pou
PZ MAYOR-LA LLOSA	Plaça Major
PZ AJUNTAMENT, DEL	Plaça de l'Ajuntament
PL TROSSOS, LOS	Els Trosos
TR FORN, DEL	Travessia del Forn
UR BENARROSA	Calle Palmito
UR BENARROSA GARDENS	urbanització Benarrosa Garden
UR BENESTAR	urbanització Benestar
UR SOLANA GARDENS	Urbanització la Solana Gardens
UR VEREDA PARK	urbanització Vereda Park
UR VILLAGE, THE	urbanització The Village
AV SENIA, DE LA	avinguda la Sénia
CM CREU, DE LA	camí de la Creu
PZ PLACETA NOVA	Placeta Nova
