AV MAESTRO SANTIAGO ALMIÑANA	Avinguda Mestre Santiago Almiñana
AV DENIA, DE	Avinguda de Dénia
AV PAZ, LA	Avinguda de la Pau
AV DE LA RECTORIA	Avinguda de la Rectoria
AV RECTORIA, DE LA	Avinguda de la Rectoria
AV VERGEL, DE	Avinguda del Verger
CL BERNIA	Carrer de la Bèrnia
CL CALVARIO	Carrer del Calvari
CL CAMAMILLA	Carrer de la Camamilla
	
CL MOLINO	Carrer del Molí
PD VINYALS	Racó dels Vinyals
CL ESCUELAS	Carrer Frontó
CL FRONTON	Carrer Escoles
CL LUIS SANTONJA	Carrer Lluís Santonja
CL MAYOR	Carrer Major
CL MARINA ALTA	Carrer Marina Alta
CL ONDARA	Carrer Ondara
CL PEDREGUER	Carrer Pedreguer
CL RIO GIRONA	Carrer Riu Girona
CL SAN ANTONIO	Carrer Sant Antoni
CL SAN JUAN	Carrer Sant Joan
CL SAN JOSE	Carrer Sant Josep
CL SAN ROQUE	Carrer Sant Roc
CL SAN VICENTE	Carrer Sant Vicent
CL SOL	Carrer Sol
CL BLASCO IBAÑEZ	Carrer de Blasco Ibáñez
CL COLOMBIA DE	Carrer de Colòmbia
CL JOAN FUSTER	Carrer de Joan Fuster
CL MIGUEL HERNANDEZ	Carrer de Miguel Hernández
CL PAMIS	Carrer de Pamis
CL SANTO DOMINGO	Carrer de Sant Domènec
CL TIRANT LO BALNC	Carrer de Tirant Lo Blanc
CL ALFABEGA DE L	Carrer de l'Alfàbrega
CL AZHAR DE L	Carrer de l'Azahar
CL OLIVERA, DE LA	Carrer de l'Olivera
CL CARRASCA, DE LA	Carrer de la Carrasca
CL DALIA, DE LA	Carrer de la Dàlia
CL LLIMERA, DE LA	Carrer de la Llimera
CL NORIA DE LA	Carrer de la Nória
CL ROSA, DE LA	Carrer de la Rosa
CL SEGARIA	Carrer de la Segària
CL SENIA LA	Carrer de la Sénia
CL CLAVELL DEL	Carrer del Clavell
CL DATILER, DEL	Carrer del Datiler
CL GARROFER, DEL	Carrer del Garrofer
CL GERANI, DEL	Carrer del Gerani
CL GESSAMI, DEL	Carrer del Gessamí
CL GLADIOL, DEL	Carrer del Gladiol
CL LLIRI, DEL	Carrer del Lliri
CL MAGRANER DEL	Carrer del Magraner
CL MONTGO	Carrer del Montgó
CL POU, DEL	Carrer del Pou
CL ROMER	Carrer del Romero
CL TARONGER, DEL	Carrer del Taronger
CL TREBOL	Carrer del Trèbol
CL XOP, DEL	Carrer del Xop
CL RIU PALANCIA DEL	Carrer del riu Palancia
CL RIU SEGURA DEL	Carrer del riu Segura
CL RIU SERPIS DEL	Carrer del riu Serpis
CL RIU TURIA	Carrer del riu Túria
CL RIU VINALOPO DEL	Carrer del riu Vinalopó
CL RIU XUQUER DEL	Carrer del riu Xúquer
CL AMERICAS, LAS	Carrer les Amèriques
PD BASETA	la Basseta
PD BENICADIMS	Benicadims
PD BENIHOME-ESTE	Tossalet de Benihome
PD BENIHOME-OESTE	Tossalet de Benihome
PD GRAUS	Graus
PD HUERTAS ABAJO	Hortes Baixes
PD ILLETES	Illetes
PD MONTAÑA DE RAFALETS	Tossal de Rafalet
PD OLIVARETS	Olivarets
PD PLANS	els Plans
	
PD RASES	Rases
	
PD TRILLETS	Trillets
PS JAUME I	Passeig de Jaume I
PZ NOVA	Plaça Nova
PZ AYUNTAMIENTO	Plaça de l’Ajuntament
PL INDUSTRIAL HORTES	"Polígon Industrial ""Les Hortes"""
