AV JAUME I	Avinguda Jaume I
	
CM GUADIANA	Camí Guadiana
CM REAL DE GANDIA	Camí Real de Gandia
CM SECANET	Camí Secanets
CM MARJALETES DE LES	Camí de les Marjaletes
CM REVOLTES	Camí de les Revoltes
CL CERVANTES	Carrer Cervantes
CL JOAN MARTORELL	Carrer Joan Martorell
CL MAR	Carrer la Mar
CL MAYOR	Carrer Major
CL MIRARROSA	Carrer Mira-rosa
CL PEGO	Carrer Pego
CL RIU	Carrer Riu
CL SAN JOSE	Carrer Sant Josep
CL SAN ROQUE	Carrer Sant Roc
CL VICENT ANDRES ESTELLES	Carrer Vicent Andrés Estellés
CL DENIA	Carrer de Dénia
CR MARINES DE LES	Carretera de les Marines
CR CV-723	CV-723
PD ALMEL-LERALS	els Ametlerals
PD ALTERS	els Alters
PD AVESANES	les Vessanes
PD BARRANQUETS CL-01	Partida Barranquets Carrer 1
PD BARRANQUETS CL-01C	Partida Barranquets Carrer 1-C
PD BARRANQUETS CL-01A	Partida Barranquets Carrer 1-A
PD BARRANQUETS CL-01B	Partida Barranquets Carrer 1-B
PD BARRANQUETS CL-10	Partida Barranquets Carrer 10
PD BARRANQUETS CL-10A	Partida Barranquets Carrer 14
PD BARRANQUETS CL-11	Partida Barranquets Carrer 10-A
PD BARRANQUETS CL-12	Partida Barranquets Carrer 11
PD BARRANQUETS CL-12A	Partida Barranquets Carrer 12
PD BARRANQUETS CL-13	Partida Barranquets Carrer 12-A
PD BARRANQUETS CL-14	Partida Barranquets Carrer 13
PD BARRANQUETS CL-15	Partida Barranquets Carrer 15
PD BARRANQUETS CL-16	Partida Barranquets Carrer 16
PD BARRANQUETS CL-16C	Partida Barranquets Carrer 16-C
PD BARRANQUETS CL-16A	Partida Barranquets Carrer 16-A
PD BARRANQUETS CL-16 D	Partida Barranquets Carrer 16-D
PD BARRANQUETS CL-17	Partida Barranquets Carrer 17
PD BARRANQUETS CL-17C	Partida Barranquets Carrer 17-C
PD BARRANQUETS CL-17D	Partida Barranquets Carrer 17-D
PD BARRANQUETS CL-17A	Partida Barranquets Carrer 17-A
PD BARRANQUETS CL-17B	Partida Barranquets Carrer 17-B
PD BARRANQUETS CL-18	Partida Barranquets Carrer 18
PD BARRANQUETS CL-18A	Partida Barranquets Carrer 18-A
PD BARRANQUETS CL-19	Partida Barranquets Carrer 19
PD BARRANQUETS CL-02	Partida Barranquets Carrer 2
PD BARRANQUETS CL-02A	Partida Barranquets Carrer 2-A
PD BARRANQUETS CL-02B	Partida Barranquets Carrer 2-B
PD BARRANQUETS CL-20	Partida Barranquets Carrer 20
PD BARRANQUETS CL-20A	Partida Barranquets Carrer 20-A
PD BARRANQUETS CL 20B	Partida Barranquets Carrer 20-B
PD BARRANQUETS CL 20 C	Partida Barranquets Carrer 20-C
PD BARRANQUETS CL-22	Partida Barranquets Carrer 22
PD BARRANQUETS CL-23	Partida Barranquets Carrer 23
PD BARRANQUETS CL-23A	Partida Barranquets Carrer 23-A
PD BARRANQUETS CL-23B	Partida Barranquets Carrer 23-B
PD BARRANQUETS CL-24	Partida Barranquets Carrer 24
PD BARRANQUETS CL-25	Partida Barranquets Carrer 25
PD BARRANQUETS CL-26	Partida Barranquets Carrer 26
