AV MOZART-UB S VITAMINA	Avinguda Mozart
AV NELSON-UB S VITAMINA	Avinguda Nelson
AV DEL SUR UBS VITAMINA	Carrer del Sud
AV AVINGUDA CENTRAL	Avinguda Central
AV DEL PROGRES	Avinguda d'es Progres
AV DE LA INDUSTRIA	Avinguda de Sa Industria
AV SANTA MARIANNA	Avinguda de Santa Marianna
AV SES QUARTERADES, DE	Avinguda de Ses Quaterades
AV DE LA VERGE DEL TORO	Avinguda de la Verge del Toro
AV DEL PARE HUGUET	Avinguda del Pare Huguet
AV BORRASSOS, DES	Avinguda des Borassos
AV DES CAMP VERD	Avinguda des Camp Verd
CL AB; CALES COVES	Carrer AB
CL BON AIRE; SAN JAIME MEDIT	Carrer Bonaire
CL J.M. MASCARO PASARIUS	Carrer de Josep Mascaró
CL MONTAÑA UB SON VITAMINA	Carrer de Montana
CL NORTE-UB S VITAMINA	carrer Nord
CL PINOS; DE LOS	Carrer dels Pins
CL R; CALES COVES	Carrer R
CL S ELOY- UB S VITAMINA	Carrer Sant Eloi
CL SIMON, DEL; SAN JAIME MED	Carrer de Simó Vidal
CL V; CALES COVES	Carrer V
CL W; CALES COVES	Carrer W
CL DE L'ANGEL	Carrer de l’Angel
CL DE L'ARITJA	Carrer de l’Aritja
CL DE LA POSIDONIA	Carrer de la Possidònia
CL DE S'OLIVERAR	Carrer de s’Oliverar
CL DEL MATISSAR	Carrer del Matissar
CL DEL ROMANI	Carrer del Romaní
CL DEL SOCARRELL	Carrer del Socarrell
CM DES MOLI D'EN COLL	Camí des Moli d'en Coll
CM PENYES, DE S'ES	Camí de Ses Penyes
CM MERCADAL, D'EN	Camí d'en Mercadal
CM CAMI DE SA BEGUDA	Camí de sa Beguda
CM DE SA MOLA	Camí de sa Mola
CL A	Carrer A
CL A; CALES COVES	Carrer A
CL ALAIOR; SAN JAIME MEDIT	Carrer Alaior
CL ALT	Carrer Alt
CL AMPLE	Carrer Ample
CL BELLAMIRADA; SAN JAIME ME	Carrer Bella Mirada
CL CAMINET DES POU NOU	Caminet des Pou Nou
CL CENTRAL; SAN JAIME MEDIT	Carrer Central
CL DE CIUTADELLA	Carrer Ciutadella de Menorca
CL CUESTA S. JAIME; SAN JAI.	Carrer Costa de Sant Jaume
CL DEL GARBI	Carrer Garbí
CL DE LLEBEIG	Carrer Llebeig
CL DE LA LLEGENDA	Carrer Llegenda
CL DE LLUCALARI	Carrer Llucalari
CL MAJOR	Carrer Major
CR MARGALIDA COMAS CAMPS	Carrer Margalida Comas Camps
CL MENOR	Carrer Menor
CL MIGUEL DE CERVANTES	Carrer Miguel de Cervantes
CL NOU	Carrer Nou
CL DE PONENT	Carrer Ponent
CL PP 3; SAN JAIME MEDIT	Carrer Pp 3
CL RAMAL; SAN JAIME MEDIT.	Carrer Ramal
CL RAMON LLULL	Carrer Ramon LLull
CL DE RUIZ I PABLO	Carrer Ruiz i Pablo
CL DE SANT VICENT	Carrer Sant Vicent
CL SOL; SAN JAIME MEDITE	Carrer Sol
TR DE L'AVINGUDA CENTRAL	Carrer Travessera de l'Avinguda Central
CL X; CALES COVES	Carrer X
CL Y; CALES COVES	Carrer Y
CL Z; CALES COVES	Carrer Z
CL ALTA DEL MAR; SAN JAIME	Carrer d'Alta Mar
CL D'EIVISSA	Carrer d'Eivissa
CL DES BOUERET	Carrer d'Es Boueret
CL D'HANNOVER	Carrer d'Hannover
