AV CAMI DE MAO	Avinguda Camí de Maó
AV PALMA DE MALLORCA	Avinguda de Ciutat de Palma de Mallorca
AV CAPITA NEGRETE	Avinguda de Capità Negrete
AV FRANCESC DE BORJA MOLL	Avinguda de Francesc de Borja Moll
AV CONQUERIDOR	Avinguda de Jaume I El Conqueridor
AV JAUME I CONQUERIDOR	Avinguda de Jaume I El Conqueridor
AV CONSTITUCIO	Avinguda de sa Constitució
AV DEL MAR	Avinguda de la Mar
CL CANONGE MOLL	Carrer de Canonge Moll
CL CARNISSERIA	Carrer de sa Carnisseria
CL CARNISSERS	Carrer des Carnissers
CL COSTA DEL MOLL	Camí des Moll
CL COVA DE SES AMFORES	Carrer de sa Cova de ses Àmfores
CL CREU	Carrer de sa Creu
CL GAYARRE	Via de Gayarre
CL MAO	Carrer de Maó
CL MESTRE JOAN B. VIVES	Carrer de Mestre Joan Benejam i Vives
CL PAU	Carrer de sa Pau
CL SOR AGUEDA	Carrer de Sor Agueda
CL DE SA CAMAMIL·LA	Carrer de sa Camamil·la
CJ BRETXA	Carreró de sa Bretxa
CJ COMELLES	Carreró d’en Comelles
CJ ESTANY	Carreró de s’Estany
CJ PALAU	Carrer des Palau
CM BAIX	Camí de Baix
CM SANT AGUSTI	
CL ALGAIARENS	Carrer d’Algaiarens
CM TRES ALQUERIES	Camí de ses Tres Alqueries
CM VELL DE MAO	Camí Vell de Maó
CM CALETA	Camí de Sa Caleta
CM SA FAROLA	Camí de Sa Farola
CL CAMI VELL DE SA FAROLA	Camí vell de Sa Farola
CM FAROLA	Camí de Sa Farola
CM SANT JOAN DE MISSA	Camí de Sant Joan de Missa
CM SON SALOMO	Camí de Son Salomó
CM CARAGOL	Camí des Caragol
CL ARC	Carrer de s’Arc
CL AUGUST OTTO	Carrer d’August Otto
CL PERE CAPLLONC	Carrer de sa Baixada de Capllonc
CL BARCELONA	Carrer de Barcelona
CL BARTOMEU ARGUIMBAU	Carrer de Bartomeu Arguimbau
CL BARTOMEU CARRERAS	Carrer de Mestre Bartomeu Carreras
CR CALAN BLANES	
CL BEAT JOSEP CASTELL CAMPS	Carrer de Beat Josep Castell Camps
CL BIJUTERS	Carrer des Bijuters
CL BISBE JUANO	Carrer del Bisbe Juano
CL CAP DE BAJOLI	Carrer des Cap de Bajolí
CL CIUTAT ORISTANO	Carrer de Ciutat d’Oristano
CL CIUTAT DE CURSI	Carrer de Ciutat de Cursi
CL CURNIOLA	Carrer de Curniola
CL DOCTOR CAMPS	Carrer de Doctor Camps
CL DOCTOR FLEMING	Carrer de Doctor A. Fleming
CL ESTRET	Carrer Estret
CL FAMILIA ULISES	Carrer de la Familia Ulises
CL FERRERIES	Carrer de Ferreries
CL FONERS BALEARS	Carrer des Foners de Balears
CL GELOSOS	Carrer des Gelosos
CL GENERAL MORERA	Carrer de General Morera
TV GENERAL MORERA	Carrer de General Morera
CL GENERAL QUADRADO	Carrer de General Quadrado
CR SANTANDRIA	
CL HUELVA	Carrer de Huelva
CL FRANCESC FIVALLER	Carrer de Josep M. Fivaller
AV JOSEP MASCARO PASARIUS	Carrer de Josep Mascaró Pasarius
CL LLUNA	Carrer de sa Lluna
CL MAJOR D'ES BORN	Carrer Major des Born
CL MARIA AUXILIADORA	Carrer de Maria Auxiliadora
CL MARINO BENEJAM	Carrer de Marino Benejam
CL MARINA	Carrer de Marina
CL MARIUS VERDAGUER	Carrer de Marius Verdager
CL MARQUES D'ALBRANCA	Carrer de Marquès d'Albranca
CL MELITON PEREZ	Carrer de Melitón Pérez
CL MIQUEL CAIMARIS	Carrer de Miquel Eugeni Caimaris
CL MURADA D'ARTRUTX	Carrer de sa Murada d'Artrutx
CL MALAGA	Carrer de Màlaga
CL NOU DE JULIOL	Carrer de Nou de Juliol
CL OSCA	Carrer d’Osca
CL PABORDE MARTI	Carrer de Paborde Martí
CL PALAU I QUER	Carrer de Palau i Quer
CL PALMA	Carrer de sa Palma
CL PARE NIN	Carrer de Pare Nin
CL PARE SUBIRATS	Carrer de Pare Subirats
CL PERE CORTES	Carrer de Pere Cortès
CL PINTOR TORRENT	Carrer de Pintor Torrent
CL PLA SANT JOAN	Carrer es Pla de Sant Joan
CL PORTAL DE MAR	Carrer des Portal de la Mar
CL PORTAL DE SA FONT	Carrer des Portal de sa Font
CL QUI NO PASSA	Carrer Qui No Passa
CJ QUINTANA DE MAR	
CL QUINTANA DE MAR	Carrer de Quintana de Mar
CL RAFEL OLEO I QUADRADO	Carrer Rafel Oleo i Quadrado
CL ROQUES	Carrer de ses Roques
CL SABATERS	Carrer des Sabaters
CL SANT AGUSTI DE LA FLORIDA	Avinguda de Ciutat de Sant Agustí de la Florida
CL SANT ANTONI	Carrer de Sant Antoni
CL SANT ANTONI MARIA CLARET	Carrer de Sant Antoni Maria Claret
CL SANT BARTOMEU	Carrer de Sant Bartomeu
CL SANT CRISTOFOL	Carrer de Sant Cristòfol
CL SANT FRANCESC	Carrer de Sant Francesc
CL SANT JAUME	Carrer de Sant Jaume
CL SANT JERONI	Carrer de Sant Jeroni
CL SANT JOAN BAPTISTA	Carrer de Sant Joan Baptista
CL SANT JOAN BOSCO	Carrer de Sant Joan Bosco
CL SANT JOSEP	Carrer de Sant Josep
CL SANT MIQUEL	Carrer de Sant Miquel
CL SANT PERE	Carrer de Sant Pere
CL SANT PERE ALCANTARA	Carrer de Sant Pere d’Alcàntara
CL SANT RAFEL	Carrer de Sant Rafel
CL SANTA BARBARA	Carrer de Santa Bàrbara
CJ SANTA BARBARA	Carrer de Santa Bàrbara
CL SANTA CLARA	Carrer de Santa Clara
CL SANTA ROSALIA	Carrer de Santa Rosalia
CL SUDEST	Carrer del Sud-est
CL TOLEDO	Carrer de Toledo
CL TORRES QUEVEDO	Carrer de Torres Quevedo
CL VILA JUANEDA	Carrer de Vila Juaneda
CL ALAIOR	Carrer d'Alaior
CL D'ALBERT CAMUS	Carrer d'Albert Camus
CL ALCUDIA	Carrer d'Alcúdia
CL ALFONS V	Carrer d'Alfons V
CL ALFONS XIII	Carrer d'Alfons XIII
CL ANSELM PUJOL	Carrer d'Anselm Pujol
CL EIVISSA	Carrer d'Eivissa
CL ES CASTELL	Carrer d'Es Castell
CL ORIENT	Carrer d'Orient
CL FORN	Carrer d'es Forn
CL MIRADOR	Carrer d'es Mirador
CL ANGEL RUIZ I PABLO	Carrer d'Àngel Ruiz i Pablo (1865-1927 Escriptor)
CL JOSE DELFIN SERRA	Carrer de José Delfín Serra
CL BILBAO	Carrer de Bilbao
CL BISBE COMES	Carrer de Bisbe Comes
CL CABRERA	Carrer de Cabrera
CL CA'L BISBE	Carrer de Cal Bisbe
CL CALA EN BUSQUETS	Carrer de Cala en Busquets
UR CALAN BUSQUETS	
CL CASILDA CAIMARIS	Carrer de Casilda Caimaris
AV CIUTAT DE L'ALGUER	Carrer de Ciutat de l'Alguer
CL DEGA FEBRER	Carrer de Degà Febrer
CL DOMINGO SAVIO	Carrer de Domingo Savio
CL FORMENTERA	Carrer de Formentera
CL FORNELLS	Carrer de Fornells
CL F.BARCELO CAIMARIS	Carrer de Francesc Barceló i Caimaris
CL FRANCISCO GOYA	Carrer de Francisco de Goya
CL GABRIEL MARTI I BELLA	Carrer de Gabriel Martí Bella
CL GIRONA	Carrer de Girona
CJ GIRONA	Carrer de Girona
CL GUSTAVO MAS	Carrer de Gustavo Mas
CL JERONIA ALZINA	Carrer de Jerònia Alzina
CL JOAN RAMIS I RAMIS	Carrer de Joan Ramis
CL JORDI FERRAGUT MESQUIDA	Carrer de Jordi Ferragut Mesquida
CL JOSEP CAVALLER I PIRIS	Carrer de Josep Cavaller Piris
CL JOSEP MARIA QUADRADO	Carrer de Josep Maria Quadrado
CL JOSEP PONS LLUCH	Carrer de Josep Pons Lluch
CL JOSEFA ROSSINYOL	Carrer de Josepa Rossinyol
CL LEPANT	Carrer de Lepant
CL LLEIDA	Carrer de Lleida
CL LLUCMAÇANES	Carrer de Llucmaçanes
CL MADRID	Carrer de Madrid
CL MALLORCA	Carrer de Mallorca
CL MS.J.SALORD FARNES	Carrer de Mossèn Josep Salord i Farnés
CL MURILLO	Carrer de Murillo
CL NOSTRA SENYORA CONSOLACIO	Carrer de Nostra Senyora de la Consolació
CL NOSTRA SENYORA DOLORS	Carrer de Nostra Senyora dels Dolors
CL PERE CAPLLONCH	Carrer de Pere Capllonc
CL PERE CASASNOVAS	Carrer de Pere Casasnovas
CL PERE MARTORELL	Carrer de Pere Martorell
CL PERE MELIS	Carrer de Pere Melis
CL PIUS VI	Carrer de Pius VI
CL SANT ELOI	Carrer de Sant Eloi
CL SANT ESTEVE	Carrer de Sant Esteve
CL SANT ISIDRE	Carrer de Sant Isidre
CL SANT JORDI	Carrer de Sant Jordi
CL SANT LLUIS	Carrer de Sant Lluís
CL SANT ONOFRE	Carrer de Sant Onofre
CL SANT SEBASTIA	Carrer de Sant Sebastià
CJ SANTA HELENA	Carrer de Santa Helena
CL SARAGOSSA	Carrer de Saragossa
