DS SANT ANTONI	
DS RUMET	
DS SON ABATZER	
DS SON MERCER DE DALT	
DS SANTA MARIA	
DS SON BELL LLOQUET VELL	
DS CAMPING	
DS BINISSUES	
DS PLETES DES MOLI	
DS SON TELM	
DS SON MERCER DE BAIX	
DS ES CANALO	
DS SANTA CECILIA	
DS SANT GABRIEL	
DS ALQUERIA BLANCA	
DS SANT RAFEL	
DS SON BELL LLOQUET NOU	
DS CALAFI VELL	
DS SANTA ELENA	
DS SON BLANC	
DS SANT PERE	
DS LA MARCONA	
DS LLOC DE VALL	
DS SON FIDEU	
DS SON GORNESSET	
DS SON ARRO	
DS SA CIMENTERA	
DS ES BARRANCO	
DS BINIATRUM	
DS RESTAURANT EL GALLO	
DS BINISSAID	
DS ES VERGER	
DS ES CALAFAT	
DS SON MARTORELLET FINCA C	
DS SON CAMARO	
DS ALQUERIETA	
DS BINIMASSO	
DS BINIMOTI	
DS LA BELTRANA	
DS SON GRAS	
DS SON GRANOT	
DS SA ROVELLADA	
DS SON VIVES	
DS ZONA NUM 1	
DS SON OLIVAR	
DS SON ERMITA	
DS SANTA PONÇA	
DS SON TRIAY	
DS DISEMINADOS VAR	
DS BINIDEUFA	
DS SOBRE VELL	
DS HORT DE BINISSAID	
DS ALGENDAR NOU	
DS SON MARTORELL	
DS ALGENDAR VELL	
DS ZONA NUM 4	
DS ZONA NUM 3	
DS SANTA BARBARA	
DS CALAFI NOU	
DS SES PAÏSES	
DS RUMA NOU	
DS SANT FRANCESC	
DS BINISSUESET	
DS ESTANCIA SON GRAS	
DS SON BELL·LLOC	
DS BINICALSITX	
DS SANT JOSEP	
DS SES VOLTES	
DS SANTA TERESA	
DS ARBOÇAR DE SANT PERE	
DS TERRA ROTJA	
DS SON PONS	
DS SA MOLA	
DS SON GORNES	
DS HORT DE SANT PATRICI	
DS TIRASEC	
DS ESTANCIA DE S'ENCLUSA	
DS SANT PATRICI	
DS SANTA RITA	
DS RUMA VELL	
DS SON ARRET	
DS SANTA GIBET	
AV SON MORERA	Avinguda Son Morera
AV VERGE DEL TORO	Avinguda Verge del Toro
AV JAUME MASCARO	Avinguda de Jaume Mascaró
AV DE SA PUNTA	Avinguda de sa Punta
CL DR. FRANCO	Calle Dr. Franco
CL MARIA ANGELS CARDONA	Calle Maria Angels Cardona
CL NOU	Calle Nou
CL NUM.3 (P.G.O.U.)	Calle Num.3 (P.G.O.U.)
CL NUM.4	Calle Num.4
CL VILLA PEPA	Calle Villa Pepa
CL DE DALT	Calle de Dalt
CM DES BARRANC	Camino/Carmen Des Barranc
CM SES CAPONES	Camino/Carmen ses Capones
CM SES VINYES	Camino/Carmen ses Vinyes
CM SANT PATRICI	Camí de Sant Patrici
CL FEBRER I CARDONA	Carrer Antoni Febrer i Cardona
CL BEAT JOAN HUGUET	Carrer Beat Joan Huguet
CL BISBE SEVER	Carrer Bisbe Sever
CL CIUTADELLA	Carrer Ciutadella
CL COLL·LLIS	Carrer Coll Llis
CL EIVISSA	Carrer Eivissa
CL FORMENTERA	Carrer Formentera
CL FRED	Carrer Fred
CL GOYA	Carrer Goya
CL JOSEP BOCCO I MORELL	Carrer Josep Bocco i Morell
CL LEPANT	Carrer Lepant
CL MALLORCA	Carrer Mallorca
CL MAO	Carrer Maó
CL MESTRE OBRADOR	Carrer Mestre Obrador
CL PAU PONS	Carrer Pau Pons
CL REVEREND GUILLEM COLL	Carrer Reverend Guillem Coll
CL SANT JOSEP	Carrer Sant Josep
CL DES TORRENTET	Carrer d'Es Torrentet
CL DE PONENT	Carrer de Ponent
CL SANT JOAN	Carrer de Sant Joan
CL SON GRANOT	Carrer de Son Granot
CL DE LA CREU	Carrer de la Creu
CL DE LA PAU	Carrer de la Pau
CL CARRER DE S'ERMITA	Carrer de s'Ermita
CL DE SA FONT	Carrer de sa Font
CL DE SA PLAÇA	Carrer de sa Font
CL DE SA SINIA	Carrer de sa Sínia
CL DE SES MONGES	Carrer de ses Monges
CL DEL CAMP	Carrer del Camp
CL TEULERS	Carrer dels Teulers
CL TRENCADORS	Carrer dels Trencadors
CL ARADERS	Carrer des Araders
CM DE CAVALLS	Carrer des Camí de Cavalls
CL DES FORN	Carrer des Forn
CL DELS GARROVERS	Carrer des Garrovers
CR MIGJORN GRAN	Carrer des Migjorn Gran
CL DES RIU	Carrer des Riu
CL DELS AGLANS	Carrer dets Aglans
CL LA TROTXA	Carrer la Trotxa
CR CALA GALDANA	Carretera/Carrera Cala Galdana
CL COSTA DE SES BARRERES	Costa de ses Barreres
CL COSTA DES CONVENT	Costa des Convent
PJ ES COSTER	Pasaje/Pasadizo Es Coster
PJ SES DELICIES	Pasaje/Pasadizo ses Delicies
PS FILADORES	Passeig de les Filadores
PZ PLA DE L'ESGLESIA	Pla de l'Església
PZ DE SA SIVINA	Plaza de Sa Sivina
PZ ESPANYA	Plaça Espanya
PZ FRANCESC D'ALBRANCA	Plaça Francesc d'Albrança
PZ JAUME II	Plaça Jaume II
PZ MENORCA	Plaça Menorca
PZ PRINCEP JOAN CARLES	Plaça Príncep Joan Carles
PZ LLEVANT	Plaça de Llevant
PZ CONSTITUCIO	Plaça de la Constitució
PZ NA GRAN	Plaça de na Gran
PZ DE SA PUNTA	Plaça de sa Punta
PZ DES CANALO	Plaça des Canaló
PZ DES GARROVERS	Plaça des Garrovers
PZ DES PONT	Plaça des Pont
SC ZONA D'HORT BINICALSITX	Sector Zona d'Hort Binicalsitx
TR CALA GALDANA	Travessera Cala Galdana
