CL BONAVISTA	Carrer de Bonavista
CR CA'S PATRONS BAX	
CL ESCORBALL VERD, DE S'	Carrer de s'Escorball Verd
CL MAR MEDITERRANIA, DE LA	Carrer de la Mar Mediterrània
CL 65 BINIBECA VELL	
CM DE TORRET	Carrer de Torret
DS POBLAT DE BINIALI	
CL BINIBECA NOU 0617	
CL BINIBECA NOU 0614	
CL BINIBECA NOU 0612	
CR CAMP SARCH	
CM VELL DE S'ULLASTRAR 37	Camí Vell de s'Ullestrar
CL DE SAGITARI	Carrer de Sagitari
CR VILLA CARME	
CL MITJANERA DE PUNTA PRIMA	Carrer de sa Mitgera
CL BINIPARRATX	
CL LLIRIS, DES	Carrer des Lliris
PS PORXOS, DELS	
CL GREGAL BINISAFULLER PJ	Carrer Gregal
CL CAP ROIG DE PUNTA PRIMA	Carrer des Cap Roig
CL ANECS, DELS	Carrer des Ànecs
CR S'ERMITA VENTALL	
CM LLOP VALENT, DES	Camí des Llop Valent
CM BINIATI 57	
CL AVINGUDA 2-S'ALGAR	Avinguda 2ª
CL FITORA, DE SA	Carrer de sa Fitora
CM SANTA ROSA 41	
CR DE BINIBECA 46	
CL BOREES	Carrer de Bòrees
CM DES BARRANC	
CR SES CASES VELLES	Camí de ses Cases Velles
CL LLAUT, DES	Carrer des Llaut
CM CAP ROIG, DES	Carrer des Cap Roig
CL XALOC DE BINISAFULLER	Carrer Xaloc
PS MARITIM	Passeig Marítim
DS BINISAFULLER MOYSI	
CM VERAT SOLITARI, DES	Carrer des Verat Solitari
CM S'ALGAR 16	Carrer s'Algar
CL PONENT DE BINISAFULLER	Carrer de Ponent
CL COMTE LANNION	Carrer Comte Lannion
CL ROSES, DE SES	Carrer des Rosers
CL ILLOTS, DES	Carrer dels Illots
CL BINIBECA VELL 0550	
CL BINIBECA VELL 0551	
CL BINIBECA VELL 0557	
CL BINIBECA VELL 0558	
CL BINIBECA VELL 0559	
CL NUMERO 22-S'ALGAR	Carrer 22
PZ PLA DE SA CREU	Pla de Sa Creu
PR POU NOU	
CM PLA DE CA'N BIA	Camí de can Bia
CL LLUNA	Carrer Lluna
DS BINISSAFUA	
PS DE CAP D'EN FONT	Passeig des Cap den Font
CL ROURES	
DS BINISAFULLER CALA	
CL TEQUINA, DE SA	Carrer de sa Tèquina
DS BINISAFLLER DE BAIX	
CL PERE TUDURI	Carrer del Primer Batle Pere Tudurí
CL LA BATERIA	Avinguda de sa Bateria
CL AMPLE	Carrer Ample
CL LLEVANT BINISAFULLER PJ	Carrer de Llevant
CL BAIXADA DES MOLL	Baixada des Molls
CL RAP VOLADOR, DES	Camí des Rap Volador
CL PUNTA PRIMA 1219	
CL FALCO, DES	Carrer des Falcó
DS S'ULLASTRAR	
CL TRAMUNTANA PUNTA PRIMA	Carrer de sa Tramontana
CL TARDOR, DE SA	Carrer de sa Tardor
CL PUNTA PRIMA 1217	Calle Punta Prima 1217
CL TAMARELLS, DES	Carrer des Tamarells
CL MITJERA BINISAFULLER	
DS ES BARRANC	
CL EOL	Carrer Èol
CL GALL FAVER, DES	Carrer des Gall Faver
CL CAUSAN	Carrer de Causan
AV BATERIA	Avinguda de sa Bateria
CM SARG DAURAT, DES	Cami de Sarg Dorat
CL D'ARIES	Carrer d’Àries
PS MARINA, DE SA	Passeig de Sa Marina
CL DE SA LLUNA	Carrer Lluna
DS BINIBECA NOU	
CL DE CAPRICORN	Carrer de Capricorn
CL PUPUT, DES	Carrer des Puput
CL ZEFIR	Carrer  Zèfir
PS S'ARENAL, DE	Passeig de s'Arenal
CR BINIANCOLLA 28	
CR SINIA DES FORN	
CL BINISAFUARO0427	
CL BINISAFUARO0421	
CL BINISAFUARO0423	
CL BARRAQUES	Carrer de ses Barraques
CL SA DAVALLADA	Carrer de sa Davallada
PS MAR, DE LA	Passeig de la Mar
CL SERRA BOIG, DES	Carrer des Serrà Boig
CL TORD, DES	Carrer des Tord
CL 9ª AVINGUDA - S'ALGAR	Calle 9ª Avinguda - s'Algar
CL BAIXADA DES PESCADORS, SA	Carrer de sa Baixada des Pescadors
DS BINISAFULLET NOU	
CL MORRET BO, DES	Carrer des Morret Bo
CL VARIADA, DE SA	Carrer de na Variada
CL SA SINIA	Camí de sa Sinía
CL MABRES, DELS	Carrer des Mabres
CL S'ALGAR 1513	
CL S'ALGAR 1511	
CL S'ALGAR 1519	
CL RUPIT, DES	Carrer des Rupit
CM PLATJA DE PONENT, DE SA	Carrer de sa Platja
CM ANGUILA TORTA, DE S'	Carrer de s'Anguila Torta
CL BAIXADA A LA MAR	Carrer Baixada a la Mar
CM PADASSOS ROBATS, DES	Cami de Padassos Rodats
CL MORENELL BINIBEQUER VELL	Carrer des Morenell
CL APARTAMENTS, DELS	Carrer dels Apartaments
CL BINIARROCA	Carrer de Biniarroca
CL MARINA DES CAP D'EN FONT	Carrer de sa Marina des Cap d’en Font
CL DE S'ENCLOVA	
CL DR. MATEU SEGUI MERCADAL	Carrer de Mateo Seguí
CL TRAMUNTANA CAP D'EN FONT	Carrer de Tramuntana
CL RACO D'EN GELABERT, DES	Carrer des Recó d’en Gelabert
CM SON PLATA 36	
CM DES CONSELL	Camí des Consell
CL BINIBECA VELL 0524	
CL AUBA, S'	Carrer de s'Auba
PL SA SIVINA	
CL CAP D'EN FONT INT 0204	
CL TARONGERS, DES	Carrer des Tarongers
CL DALIES, DE SES	Carrer de ses Dàlies
CL REM, DEL	Carrer des Rem
CL MUSSOL, DES	Carrer des Mussol
CL BINIBECA VELL 0561	
CL BINIBECA NOU 0623	
CL BINIBECA NOU 0620	
CM PAGRE IMMORTAL, DES	Carrer des Pagre Immortal
CL BINIBECA NOU 0624	
CL MARINERS, DELS	Carrer des Mariners
CL MORENEL BINISAFULLER PJ	Carrer des Morenell
PZ PINS	Plaça des Pins
PJ PEATONAL PLAÇA NOVA	Carrer Peatonal de la Plaça Nova
CL TORRET BAIX 0701	
CL DE BAIX	Carrer de Baix
CL COSTA DE SA PLATJA	Costa de sa Platja
CL 28 - S'ALGAR	Carrer 28
CR RAFALET PETIT	
DS SON BLANC	
CL CADERNERA, DE SA	
PZ RACO FONDO, DES	Plaça Racó Fondo
DS BINARROCA	
CL MAJOR	Carrer Major
CL CONGRE VELL, DES	Carrer des Congre Vell
CM BINIFADET	Camí de Binifadet
DS BINIBECA VELL	
AV CIRCUMVAL·LACIO	Avinguda Circumvalació
CL PAS DES TIMO	Pas des Timó
PS TORRE, DE SA	Passeig de sa Torre
CL TRAMUNTANA D'ALCAUFAR	Carrer Tramuntana
CL 29 - S'ALGAR	Carrer 29
CL VAPOR JAUME II, DES	Carrer del Vapor Jaume II
CR BINISSAFULLER 47	
CL BINIBECA NOU 0644	
CM SANTA ROSITA	Camí de Santa Rosita
CL TRAMUNTANA BINISAFULLER	Carrer de Tramuntana
CM CALAMARS TREMOLOSOS, DES	Carrer des Calamars Tremolosos
CL S'AUBA	Carrer de s'Auba
CM BINIPURDELLET 56	
CL BINIBECA VELL 0564	
CL BINIBECA VELL 0563	
CL BINIBECA VELL 0562	
CM SANT CLIMENT, DE	
CM DE BAIX (POU NOU)	Camí des Pou Nou Baix
CL BINIBECA NOU 0604	
CM MOROS	Camí des Moros
CM OBLADA BLAVA, DE S'	Carrer de s'Oblada Blava
DS VINYA SATURNI	
PZ BATLLE, DES	Plaça des Batlle
CL BINIBECA NOU 0607	
CL LLEBEIG DE BINISAFULLER	Carrer des Llebeig
CL PAS DES CORMORANS	Pas des Cormorans
CL BOTANIC	Carrer Botànic
CL ANELLES, DE SES	Carrer de ses Anelles
PR POBLAT DE TORRET	
DS BINIPARRATX CALA	
CL AMFOS DE PUNTA PRIMA	Carrer de s’Amfós
CL ESTEL SIRIUS	Carrer de s'Estel Sírius
CL S'ALGAR 1521	
CL BINIANCOLLET 0804	
CL NUMERO 30-S'ALGAR	Carrer 30
CL TRAMUNTANA DE S'ALGAR	Carrer Tramuntana
CL BINIANCOLLET 0801	
CL BINIANCOLLET 0803	
CL ESTEL RIGEL	Carrer de s'Estel Rigel
CL S'ERMITA	Carrer de s'Ermita
CM SES BARQUERES 20	
CL NORD, DEL	Carrer del Nord
CL MERLA, DE SA	Carrer de sa Merla
CL LLEVANT DE BINISAFULLER	Carrer de Llevant
CL SANT ESTEVE	Carrer de Sant Esteve
CL ANCORA DE S'ALGAR	Carrer de s'Àncora
CL LANTANES, DE SES	Carrer de ses Lantanes
CL ANCORA BINIBEQUER VELL	Carrer de s’Àncora
CL TIMO, DES	Carrer des Timó
CM RAONS PERDUTS, DES	Carrer des Raors Perduts
PS DE SA TORRE	Passeig de Sa Torre
CL EMBAT	Carrer Embat
CL DES EQUINOCCIS	Carrer des Equinoccis
CL NUMERO 27-S'ALGAR	Carrer 27
CL BELLAMIRADA	Carrer de sa Bella Mirada
DS LLOC NOU	
CL PUNTA PRIMA 1209	
CL NUMERO 23-S'ALGAR	Carrer 23
CL GARBI	Carrer de Garbí
CL CIUTAT JARDI-BINIBECA	Carrer Ciudad Jardín
CL S'ESCALETA, DE	Carrer de s'Escaleta
CL CALO BLANC, DES	Carrer des Calo Blanc
CR PREFAB MERCADAL	
CM SON TRETZE	Camí de Son Tretze
CL D'AQUARI	Carrer d’Aquari
CL SANT LLUIS	Carrer de Sant Lluís
CL CALA BINIANCOLLA 0918	
CL S'ORONELLA, DE	Carrer de s'Oronella
CL ULLASTRE DE CAP DEN FONT	
CL S'ESTEPA	Carrer de s'Estepa
CL S'ARPO, DE	Carrer de s'Arpó
CL AVINGUDA 1-S'ALGAR	Avinguda 1ª
CM SINIA PARRUQUET, DE SA	Camí de sa Sínia
CL LLENCES, DE SES	Carrer de ses Llences
DS SANTA RITA	
CL AVINGUDA 6-S'ALGAR	Avinguda 6ª
DS BINIATI VELL	
