DS CAN MOLIST		CAT
DS CAN GUID		CAT
DS CAN PARE JOAN		CAT
DS CAN CATA		CAT
DS DISEMINADOS		CAT
AV ANGEL PLANET	Carrer d’Àngel Planet	CAT
AV CASTELLMAR	Avinguda de Castellmar	OSM
AV GENERAL MORAGUES	Avinguda del General Moragas	OSM
AV MARESME	Avinguda del Maresme	OSM
BO MAS RAMONET		CAT
CL ANTIC CAMI D'ARENYS		CAT
CL CANIGO	Carrer del Canigó	CAT
CL FOLCH I TORRES	Carrer de Folch i Torres	CAT
CL FRANCISCO PARERA	Ronda de Francesc Parera	CAT
CL GUIMERA ANGEL	Carrer d’Àngel Guimerà	CAT
CL MOLI	Carrer del Molí	CAT
CL RAMON CAPMANY	Carrer de  Ramon Capmany	CAT
CL TARRAGONA	Carrer de Tarragona	CAT
CL VALL	Carrer Vall	CAT
CL VGE. DE MONTSERRAT	Carrer de la Verge de Montserrat	CAT
CL AMPLE	Carrer Ample	OSM
CL CALDETA	Carrer de la Caldeta	OSM
CL CONCORDIA	Carrer de la Concordia	OSM
AV DOCTOR MARIA SERRA	Avinguda del Doctor Marià Serra	OSM
CL EUSEBI ARNAU	Carrer d'Eusebi Arnau	OSM
CL F. DANIEL MOLINA	Carrer de Francesc Daniel Molina	OSM
CL FRANCESC GUARDIA	Carrer de Francesc Guàrdia	OSM
CL JOSEP CABRUJA	Carrer de Josep Cabruja	OSM
CL JOSEP M. DANES	Carrer de Josep Maria Danés	OSM
CL JOSEP MORA	Carrer de Josep Mora	OSM
CL LOPEZ PICO	Carrer de López Picó	OSM
CL MANEL BUSQUETS	Carrer de Manuel Busquets	OSM
CL MOSSEN MARIA MARTINEZ	Carrer de Mossèn Maria Martínez	OSM
CL MN. CINTO VERDAGUER	Carrer de Mossèn Cinto Verdaguer	OSM
CL NOU	Carrer Nou	OSM
CL LA PALMA	Carrer de la Palma	OSM
CL PAU GARGALLO	Carrer de Pau Gargallo	OSM
CL PUBILLES	Carrer de les Pubilles	OSM
CL RIAL DELS OMS	Carrer del Rial dels Oms	OSM
CL ROSSELLO	Carrer del Roselló	OSM
CL SANT ESTEVE	Carrer de Sant Esteve	OSM
CL SANT FELIU	Carrer de Sant Feliu	OSM
CL SANT PERE	Carrer de Sant Pere	OSM
CL SANTISSIMA TRINITAT	Carrer de la Santíssima Trinitat	OSM
CL SAUC	Carrer del Saüc	OSM
CL CABOT SEBASTIA	Carrer de Sebastià Cabot	OSM
CL TORDERA	Carrer de Tordera	OSM
CL VGE. DE NURIA	Carrer de la Verge de Núria	OSM
CL VGE. DEL PILAR	Carrer de la Verge del Pilar	OSM
CL VIA CANNETUM	Carrer de la Via Cannetum	OSM
CL VIA FIGUEROLA	Carrer de la Via Figuerola	OSM
CL ABELL	Carrer d'Abell	OSM
CL ABELL BAIX	Carrer d'Abell Baix	OSM
CL ANTONI GAUDI	Carrer d'Antoni Gaudí	OSM
CL ARAGO	Carrer d'Aragó	OSM
CL EDUARD FARRES	Carrer d'Eduard Farrés	OSM
CL EMILIA DOMENECH	Carrer d'Emília Domènech	OSM
CL LLUIS DOMENECH	Carrer de Lluís Domènech i Montaner	OSM
CL ENRIC JOVER	Carrer d'Enric Jover	OSM
CL EUSEBI GOLART	Carrer d'Eusebi Golart	OSM
CL ISLA CRISTINA	Carrer d'Isla Cristina	OSM
CL OLOT	Carrer d'Olot	OSM
CL BALMES	Carrer de Balmes	OSM
CL BARCELONA	Carrer de Barcelona	OSM
CL BOFILL I MATAS	Carrer de Bofill i Mates	OSM
CL BORRAS DE PALAU	Carrer de Borràs de Palau	OSM
CL CADILLAC	Carrer de Cadillac	OSM
CL VGE. DEL CARME	Carrer de la Verge del Carme	OSM
CL CARLES CARQUES I MARTI	Carrer de Carles Carqués i Martí	OSM
CL CARLES FLOTATS	Carrer de Carles Flotats	OSM
CL CASTAÑER	Carrer de Castanyer	OSM
CL CASTELLET	Carrer de Castellet	OSM
CL CATALUNYA	Carrer de Catalunya	OSM
CL CEDRO	Carrer de Cedró	OSM
CL ELS COMEDIANTS	Carrer dels Comediants	OSM
CL CUBA	Carrer de Cuba	OSM
CL DOMENEC PASCUAL	Carrer de Domènec Pascual	OSM
CL DOTRAS VILA	Carrer de Dotras Vila	OSM
CL FRAGATA NUMANCI	Carrer de Fragata Numància	OSM
CL FRANCESC CORBERA	Carrer de Francesc Corbera	OSM
CL FRANCESC CAMBO	Carrer de Francesc Cambó	OSM
CL GARBI	Carrer de Garbí	OSM
CL GIRONA	Carrer de Girona	OSM
CL JAUME FERRER NOE	Carrer de Jaume Ferrer Noé	OSM
CL PAGA JAUME	Carrer de Jaume Pagà	OSM
CL JAUME ROMAGOSA DURAN	Carrer de Jaume Romagosa i Duran	OSM
CL JOAN MARAGALL	Carrer de Joan Maragall	OSM
CL JOAN OMS	Carrer de Joan Oms	OSM
CL JOANOT MARTORELL	Carrer de Joanot Martorell	OSM
CL JOSEP BARO	Carrer de Josep Baró	OSM
CL JOSEP CARNER	Carrer de Josep Carner	OSM
CL JOSEP PLA	Carrer de Josep Pla	OSM
CL LLEIDA	Carrer de Lleida	OSM
CL LLEVANT	Carrer de Llevant	OSM
CL CLAUSELL	Carrer de Mas Clausell	OSM
CL MAS FELIU	Carrer de Mas Feliu	OSM
CL MIRAMAR	Carrer de Miramar	OSM
CL MOSSEN COMERMA	Carrer de Mossèn Comerma	OSM
CL NARCIS MONTURIOL	Carrer de Narcís Monturiol	OSM
CL PEDRACASTELL	Carrer de Pedracastell	OSM
CL PERE DELEGLISE	Carrer de Pere Deleglise	OSM
CL POL DE	Carrer de De Pol	OSM
CL POMPEU FABRA	Carrer de Pompeu Fabra	OSM
CL PUIG CADAFALCH	Carrer de Puig i Cadafalch	OSM
CL QUIRZE PLANET	Carrer de Quirze Planet	OSM
CL RAFAEL MASO	Carrer de Rafael Masó	OSM
CL RAFEL CAMPALANS	Carrer de Rafel Campalans	OSM
CL SALVADOR ESPRIU	Carrer de Salvador Espriu	OSM
CL SANT ANTONI	Carrer de Sant Antoni	OSM
CL SANT ANTONI MARIA CLARET	Carrer de Sant Antoni Maria Claret	OSM
CL SANT BENET	Carrer de Sant Benet	OSM
CL SANT CRISTOFOL	Carrer de Sant Cristòfol	OSM
CL SANT IGNASI DE LOYOLA	Carrer de Sant Ignasi	OSM
CL SANT ISCLE DE VALLALTA	Carrer de Sant Iscle de Vallalta	OSM
CL SANT ISIDRE	Carrer de Sant Isidre	OSM
CL SANT JAUME	Carrer de Sant Jaume	OSM
CL SANT JOAN	Carrer de Sant Joan	OSM
