000300100QA71D	000300100QA71D
000701700TF21B	000701700TF21B
002300400TF31D	11007A00600039
7007401TF2170N	7007401TF2170N
11007A00100002	11007A00100002
11007A00100003	11007A00100002
11007A00100006	11007A00100002
11007A00100008	11007A00100002
11007A00100009	11007A00100002
11007A00100010	11007A00100002
11007A00100012	11007A00100002
11007A00100013	11007A00100013
11007A00100014	11007A00100013
11007A00100015	11007A00100013
11007A00100016	000701700TF21B
11007A00100019	000701700TF21B
11007A00100021	000701700TF21B
11007A00100022	000701700TF21B
11007A00100023	000701700TF21B
11007A00100024	000701700TF21B
11007A00100025	000701700TF21B
11007A00100026	000701700TF21B
11007A00100027	000701700TF21B
11007A00100029	000701700TF21B
11007A00100030	000701700TF21B
11007A00100031	000701700TF21B
11007A00100032	11007A00100032
11007A00100033	11007A00100032
11007A00100038	11007A00100013
11007A00100039	11007A00100013
11007A00100040	11007A00100013
11007A00100041	11007A00100032
11007A00100042	11007A00100032
11007A00100046	11007A00100032
11007A00100048	11007A00100013
11007A00100050	11007A00100013
11007A00100052	11007A00100013
11007A00100053	11007A00100013
11007A00100054	11007A00100013
11007A00100056	11007A00100032
11007A00100058	11007A00100002
11007A00100059	11007A00100002
11007A00100060	11007A00100002
11007A00100061	11007A00100002
11007A00100064	11007A00100002
11007A00100065	11007A00100002
11007A00100066	11007A00100002
11007A00100067	11007A00100002
11007A00100068	11007A00100002
11007A00100069	11007A00100032
11007A00100070	11007A00100070
11007A00100071	11007A00100070
11007A00100072	11007A00100070
11007A00100073	11007A00100070
11007A00100074	11007A00100002
11007A00100075	11007A00100070
11007A00100076	11007A00100070
11007A00100077	11007A00100070
11007A00100079	11007A00100070
11007A00100080	11007A00100070
11007A00100081	11007A00100070
11007A00100082	11007A00100070
11007A00100084	11007A00100070
11007A00100085	11007A00100070
11007A00100086	11007A00100070
11007A00100087	11007A00100070
11007A00100088	11007A00100070
11007A00100089	11007A00100070
11007A00100090	11007A00100070
11007A00100091	11007A00100070
11007A00100095	11007A00100032
11007A00100096	11007A00100032
11007A00100097	11007A00100070
11007A00100098	11007A00100070
11007A00100101	11007A00100070
11007A00100102	11007A00100070
11007A00100103	11007A00100032
11007A00100104	11007A00100032
11007A00100105	11007A00100032
11007A00100106	11007A00100032
11007A00100108	11007A00100032
11007A00100109	11007A00100032
11007A00100111	11007A00100032
11007A00100113	7007401TF2170N
11007A00100114	11007A00100032
11007A00100115	7007401TF2170N
11007A00100117	7007401TF2170N
11007A00100119	7007401TF2170N
11007A00100120	7007401TF2170N
11007A00100121	7007401TF2170N
11007A00100122	7007401TF2170N
11007A00100124	7007401TF2170N
11007A00100125	7007401TF2170N
11007A00100126	7007401TF2170N
11007A00100133	7007401TF2170N
11007A00100134	7007401TF2170N
11007A00100135	11007A00100070
11007A00100136	11007A00100070
11007A00100137	11007A00100137
11007A00100138	11007A00100137
11007A00100139	11007A00100137
11007A00100140	11007A00100137
11007A00100143	11007A00100137
11007A00100146	11007A00100137
11007A00100149	11007A00100149
11007A00100150	11007A00100137
11007A00100152	11007A00100137
11007A00100154	11007A00100137
11007A00100156	11007A00100137
11007A00100157	11007A00100137
11007A00100160	7007401TF2170N
11007A00100161	7007401TF2170N
11007A00100162	11007A00100032
11007A00100163	11007A00100149
11007A00100164	11007A00100149
11007A00100165	11007A00100149
11007A00100168	11007A00100149
11007A00100169	11007A00100149
11007A00100170	11007A00100149
11007A00100171	11007A00100149
11007A00100172	11007A00100149
11007A00100173	11007A00100149
11007A00100174	11007A00100149
11007A00100175	11007A00100149
11007A00100176	11007A00100149
11007A00100177	11007A00100137
11007A00100178	11007A00100137
11007A00100179	11007A00100137
11007A00100180	11007A00100137
11007A00100181	11007A00100137
11007A00100182	11007A00100137
11007A00100183	11007A00100070
11007A00100185	11007A00100137
11007A00100186	11007A00100137
11007A00100187	11007A00100137
11007A00100188	11007A00100137
11007A00100189	11007A00100137
11007A00100190	11007A00100137
11007A00100191	11007A00100149
11007A00100192	11007A00100149
11007A00100194	11007A00100194
11007A00100200	11007A00100070
11007A00100201	11007A00100070
11007A00100202	11007A00100070
11007A00100203	11007A00100070
11007A00100204	11007A00100070
11007A00100205	11007A00100194
11007A00100206	11007A00100070
11007A00100208	000701700TF21B
11007A00100210	11007A00100013
11007A00100211	11007A00100013
11007A00100212	11007A00100002
11007A00100217	11007A00100149
11007A00100218	11007A00100013
11007A00100219	7007401TF2170N
11007A00100220	11007A00100013
11007A00100221	11007A00100032
11007A00100222	11007A00100032
11007A00100223	11007A00100032
11007A00100224	11007A00100070
11007A00100225	11007A00100137
11007A00100226	11007A00100032
11007A00100228	11007A00100032
11007A00100229	11007A00100013
11007A00100230	11007A00100002
11007A00100231	11007A00100070
11007A00100233	11007A00100002
11007A00100234	11007A00100002
11007A00100235	11007A00100013
11007A00100236	11007A00100002
11007A00100237	11007A00100032
11007A00100238	11007A00100002
11007A00100240	7007401TF2170N
11007A00100241	000701700TF21B
11007A00100242	7007401TF2170N
11007A00100243	11007A00100013
11007A00100244	11007A00100013
11007A00100245	11007A00100013
11007A00100246	11007A00100013
11007A00100247	11007A00100013
11007A00100248	000701700TF21B
11007A00100252	000701700TF21B
11007A00100253	11007A00100013
11007A00100254	11007A00100137
11007A00100255	11007A00100032
11007A00100256	7007401TF2170N
11007A00100257	11007A00100032
11007A00100258	11007A00100032
11007A00100259	11007A00100013
11007A00100261	11007A00100013
11007A00100262	000701700TF21B
11007A00100263	11007A00100013
11007A00100264	11007A00100002
11007A00100265	11007A00100013
11007A00100267	11007A00100070
11007A00100268	11007A00100070
11007A00100269	11007A00100013
11007A00100270	11007A00100013
11007A00100271	11007A00100013
11007A00100273	11007A00100032
11007A00100274	11007A00100013
11007A00100275	11007A00100013
11007A00100277	11007A00100070
11007A00100279	11007A00100149
11007A00100280	11007A00100013
11007A00100281	7007401TF2170N
11007A00100282	000701700TF21B
11007A00100283	000701700TF21B
11007A00100284	000701700TF21B
11007A00100285	11007A00100013
11007A00100286	000701700TF21B
11007A00100287	11007A00100137
11007A00100288	7007401TF2170N
11007A00100289	7007401TF2170N
11007A00100290	7007401TF2170N
11007A00100292	7007401TF2170N
11007A00100293	7007401TF2170N
11007A00100294	000701700TF21B
11007A00100295	000701700TF21B
11007A00100297	11007A00100002
11007A00100298	11007A00100002
11007A00100299	11007A00100070
11007A00100300	11007A00100070
11007A00100302	000701700TF21B
11007A00100303	000701700TF21B
11007A00100304	000701700TF21B
11007A00100305	11007A00100070
11007A00100306	000701700TF21B
11007A00100307	000701700TF21B
11007A00100310	11007A00100070
11007A00100311	11007A00100002
11007A00100314	7007401TF2170N
11007A00100315	11007A00100032
11007A00100316	11007A00100032
11007A00100318	11007A00100032
11007A00100319	11007A00100032
11007A00100320	11007A00100070
11007A00100322	11007A00100070
11007A00100323	11007A00100137
11007A00100324	7007401TF2170N
11007A00100325	11007A00100032
11007A00100326	11007A00100002
11007A00100327	11007A00100002
11007A00100328	11007A00100013
11007A00100329	11007A00100032
11007A00100332	000701700TF21B
11007A00100333	7007401TF2170N
11007A00100334	7007401TF2170N
11007A00100336	11007A00100149
11007A00100337	11007A00100013
11007A00100338	11007A00100070
11007A00100339	11007A00100149
11007A00100340	11007A00100137
11007A00100341	7007401TF2170N
11007A00100343	7007401TF2170N
11007A00100344	11007A00100137
11007A00100345	11007A00100070
11007A00100347	000701700TF21B
11007A00100348	000701700TF21B
11007A00100349	11007A00100149
11007A00100350	11007A00100149
11007A00100351	11007A00100032
11007A00110337	000701700TF21B
11007A00200001	11007A00200001
11007A00200003	11007A00200001
11007A00200005	11007A00200001
11007A00200006	11007A00200001
11007A00200007	11007A00200001
11007A00200008	11007A00200001
11007A00200012	11007A00200001
11007A00200015	11007A00200001
11007A00200019	11007A00200001
11007A00200020	11007A00200001
11007A00200021	11007A00200001
11007A00200022	11007A00200001
11007A00200023	11007A00200001
11007A00200024	11007A00200001
11007A00200025	11007A00200001
11007A00200027	11007A00200001
11007A00200028	11007A00200001
11007A00200030	11007A00200001
11007A00200031	11007A00200001
11007A00200033	11007A00200001
11007A00200034	11007A00200001
11007A00200035	11007A00200001
11007A00200045	11007A00200045
11007A00200047	11007A00200001
11007A00200050	11007A00200045
11007A00200051	11007A00200045
11007A00200053	11007A00200045
11007A00200054	11007A00200045
11007A00200055	11007A00200045
11007A00200056	11007A00200045
11007A00200057	11007A00200045
11007A00200058	11007A00200045
11007A00200059	11007A00200045
11007A00200060	11007A00200045
11007A00200061	11007A00200045
11007A00200062	11007A00200045
11007A00200063	11007A00200045
