DS AHUMADA	
DS ALGARBES LOS	
DS ALMARCHAL EL	
DS BETIJUELO	
DS BETIS	
DS BOLONIA	
DS BUJEO EL	
DS CAHERUELAS	
DS ANGOSTURA LA	
DS ARROYO VIÑAS	
DS CUMBRES LAS	
DS CHAPARRAL	
DS DULCENOMBRE	
DS GUADALMESI	
DS HEDIONDA LA	
DS HERRERIA	
DS HONDON	
DS ISLA DE LAS PALOMAS	
DS LANCES LOS	
DS LENTISCAL	
DS MAJALES LOS	
DS MORO EL	
DS PALMOSILLA LA	
DS PEÑA LA	
DS PIÑAS LAS	
DS PUERTOLLANO	
DS REALILLO EL	
DS RIVERA DE LOS MOLINOS	
DS SALADAVICIOSA	
DS SALADAVIEJA	
DS TAHIVILLA	
DS TAPATANILLA	
DS TURRAO EL	
DS VALLE	
DS VEGA LA	
DS ZORRILLOS LOS	
DS ARRAEZ VICO	
DS BROCONS	
DS MATATOROS	
DS OLIVEROS	
DS PALOMA BAJA	
DS PUERTO BOLONIA	
DS PUERTO DE LA CRUZ	
DS VALDEVAQUEROS	
DS FACINAS	
DS COSTA LA	
CL ALGECIRAS (FAC)	Calle Algeciras (Facinas)
CL ANTONIO ORDOÑEZ (FAC)	Calle Antonio Ordóñez
CL ARAPILES (FAC)	Calle Arapiles (Facinas)
AV CONSTITUCION	Avenida de la Constitución
CL ANDALUCIA (FAC)	Calle Andalucia
BO NUEVA ANDALUCIA (FAC)	Calle Andalucia
AV ANDALUCIA DE	Avenida de Andalucía
AV FUERZAS ARMADAS	Avenida de las Fuerzas Armadas
AV DE LOS LANCES	Avenida de los Lances
BJ MACHO DEL	Calle Bajada del Macho
BO HUERTA DEL REY	Barriada Huerta del Rey
BO NUESTRA SRA LUZ	Barrio Nuestra Señora de la Luz
BO 13 DE ENERO	Barrio 13 de Enero
BO 28 DE FEBRERO	Barrio 28 de Febrero
CL CARDENAL CISNEROS	Barrio Cardenal Cisneros
BO CARDENAL CISNEROS	Barrio Cardenal Cisneros
BO GAVIOTAS LAS	Calle Pintor Manuel Reine
BO JESUS NAZARENO	Barrio Jesús Nazareno
BO LENTISCAL	Barrio El Lentiscal
BO PADRE MAINE	Calle Padre Maine
BO PUNTA EUROPA	Barrio Punta Europa
BO SANTO DOMINGO DE GUZMAN	Barrio Santo Domingo de Guzmán
BO VIRGEN DEL CARMEN	Barrio Virgen del Carmen
