CL CALVARI	Carrer del Calvari
CL FORAT	Carrer del Forat
CL MIRADOR PAU MONTOLIU	Carrer del Mirador Pau Montoliu
CL PENYES LES	Carrer de les Penyes
CL ROCA	Carrer de la Roca
CL LA COSTERA	Carrer de la Costera
CL ELS PEREGRINS	Camí dels Pelegrins
CL FOSSAR	Carrer del Fossar
CL ENMIG	Carrer d'Enmig
CL FERRERIA	Carrer de la Ferreria
CL MAJOR	Carrer Major
CL PELAIRE	Carrer de Pelaire
CL SANT JOAN DE PENYAGOLOSA	Carrer de Sant Joan de Penyagolosa
CL L'ALBARDER	Carrer de l'Albarder
CL ARXIVELLO	Carrer de l'Argivello
CL L'ESGLESIA	Carrer de l'Església
CL L'HOSPITAL	Carrer de l'Hospital
CL L'OLM	Carrer de l'Om
CL LA CARRETERA	Carrer de la Punta de la Carretera
CL BASSES	Carrer de les Basses
CL LES CREUS	Carrer de les Creus
CL ESCOLES	Carrer de les Escoles
CL PORTAL	Carrer del Portal
CL ERA CARTA DE POBLAMENT	Era de la Carta de Poblament
MS BAIX LA ROCA	
MS BARRANCH	
MS CALSAES	
MS COLECHALS	
MS CORRALET	
MS FELIPE DE	
MS GARGAN	
MS LLOMA	
MS MALUSA	
MS MOLI	
MS MONTOLIO	
MS PAULO	
MS POMERES	
MS ROQUESLLISES	
MS SABINO	
MS SANT CRISTOFOL	
MS TEULERIA	
MS TORRETERO-GARGAN	
MS TOSAL	
MS DE SALVANY	
CL MIRADOR DEL CASTELL	Mirador del Castell
PD SANT JOAN DE PENYAGOLOSA	Partida de Sant Joan de Penyagolosa
PD VEGA	Partida Vega
MS ESTEPAR	Pista de l'Estepar
PZ SANT CRISTOFOL	Plaça de Sant Cristòfol
PZ L'ESGLESIA	Plaça de l'Església
PD FONT LA	Plaça de la Font
PZ FONT LA	Plaça de la Font
PZ SASTRE	Plaça del Sastre
PL POLIGONO 01	
PL POLIGONO 02	
PL POLIGONO 03	
PL POLIGONO 04	
PL POLIGONO 05	
PL POLIGONO 06	
PL POLIGONO 08	
PL POLIGONO 09	
PL POLIGONO 10	
PL POLIGONO 11	
PL POLIGONO 12	
PL POLIGONO 13	
