LG PONTE MACEIRA	Lugar A Ponte Maceira
AV BRAÑAS	Avenida das Brañas
AV BARCALA	Avenida de Barcala
AV FEIRACO	Avenida de Feiraco
AV SANTIAGO	Avenida de Santiago
AV VILACHAN	Avenida de Vilachán
BO CAMPOS	Barrio Campos
BO CORPACHON	Barrio Corpachon
BO NEGREIRA	Barrio Negreira
BO NEGREIROA	Barrio Negreiroa
BO VILACHAN ABAJO	Barrio Vilachan Abajo
BO VILACHAN ARRIBA	Barrio Vilachan Arriba
CL CARMEN	Calle Carmen
CL MALECON	Calle Malecon
CL PRESA	Calle Presa
CL PUENTE	Calle Puente
CL CAMINO VIEJO	Camiño Vello
CL CARRERA S MAURO	Carreira de San Mauro
LG ABEANCA	Lugar Abeanca
LG ALVITE	Lugar Alvite
LG AMEIXEIRAS	Lugar Ameixeiras
LG ARO	Lugar Aro
LG BABION	Lugar Babion
LG BARBAZAN	Lugar Barbazan
LG BARCA	Lugar Barca
LG BARQUIÑA	Lugar Barquiña
LG BELLALTA	Lugar Bellalta
LG BRAÑA	Lugar Braña
LG BROÑO	Lugar Broño
LG BUGALLIDO	Lugar Bugallido
LG CAMIÑO REAL	Lugar Camiño Real
LG CAMPELO	Lugar Campelo
LG CAMPOLONGO	Lugar Campolongo
LG CANCELO	Lugar Cancelo
LG CASA ANTELO	Lugar Casa Antelo
LG CASAL MATO	Lugar Casal Mato
LG CASTELAN	Lugar Castelan
LG CASTRO	Lugar Castro
LG CHANCELA	Lugar Chancela
LG CORNADO	Lugar Cornado
LG COTON	Lugar Coton
LG COTRO	Lugar Cotro
LG COUSO ABAIXO	Lugar Couso Abaixo
LG COUSO ARRIBA	Lugar Couso Arriba
LG COVAS	Lugar Covas
LG CURXIDO	Lugar Curxido
LG DEVESA	Lugar Devesa
LG ESPESEDO	Lugar Espesedo
LG FARRAPA	Lugar Farrapa
LG FEANS	Lugar Feans
LG FONTAN	Lugar Fontan
LG FONTEMIRON	Lugar Fontemiron
LG FORNIÑOS	Lugar Forniños
LG FORNOS	Lugar Fornos
LG GANDARA	Lugar Gandara
LG GONTE	Lugar Gonte
LG GORGAL	Lugar Gorgal
LG IGLESIA	Lugar Iglesia
LG LANDEIRA	Lugar Landeira
LG LIBREIRO	Lugar Libreiro
LG LIÑAIO	Lugar Liñaio
LG LOBIOS	Lugar Lobios
LG LOGROSA	Lugar Logrosa
LG LUEIRO	Lugar Lueiro
LG LUGARIÑO	Lugar Lugariño
LG MAIO GRANDE	Lugar Maio Grande
LG MARCELLE	Lugar Marcelle
LG MEIRO	Lugar Meiro
LG MOURIS	Lugar Mouris
LG NIÑARELLE	Lugar Niñarelle
LG OUTEIROS	Lugar Outeiros
LG PADIN	Lugar Padin
LG PEDRALONGA	Lugar Pedralonga
LG PEDREIRAS	Lugar Pedreiras
LG PEDROUZO	Lugar Pedrouzo
LG PESADUIRA	Lugar Pesaduira
LG PIAXE	Lugar Piaxe
LG PIÑEIRO	Lugar Piñeiro
LG PONTEVEDRA	Lugar Pontevedra
LG PORQUEIRA	Lugar Porqueira
LG PORTOCAMIÑO	Lugar Portocamiño
LG PORTOR	Lugar Portor
LG QUINTENLA	Lugar Quintenla
LG RAPOTE	Lugar Rapote
LG REBORDANS	Lugar Rebordans
LG REDEMUIÑOS	Lugar Redemuiños
LG REIBO	Lugar Reibo
LG ROMARIS	Lugar Romaris
LG RONS	Lugar Rons
LG SALEIRONS	Lugar Saleirons
LG SALGUEIRA	Lugar Salgueira
LG SAN MARTIÑO	Lugar San Martiño
LG SAN PEDRO	Lugar San Pedro
LG SAN TOME	Lugar San Tome
LG SAN VICENZO	Lugar San Vicenzo
LG TARDEADO	Lugar Tardeado
LG TRASBARCALA	Lugar Trasbarcala
LG TRECE	Lugar Trece
LG TRIANS	Lugar Trians
LG TUÑAS	Lugar Tuñas
LG VILACOBA	Lugar Vilacoba
LG VILAR	Lugar Vilar
LG VILAR ABAIXO	Lugar Vilar Abaixo
LG VILAR ARRIBA	Lugar Vilar Arriba
LG VILAR ORDOESTE	Lugar Vilar Ordoeste
LG VILASERIO	Lugar Vilaserio
LG XALLAS ABAIXO	Lugar Xallas Abaixo
LG ZAS	Lugar Zas
LG MAIO PEQUENO	Maio Pequeno
PQ LIÑAIO	Parroquia/Parque Liñaio
PQ NEGREIRA	Parroquia/Parque Negreira
PZ CONCELLO	Praza do Concello
PZ COTON	Praza do Cotón
PZ FERREIRO	Praza do Ferreiro
RU CIUDAD VICENTE LOPEZ	Rúa Ciudad Vicente López
CL CACHURRA	Rúa da Cachurra
RU FONTE CARMEN	Rúa da Fonte do Carmen
RU UNION BARCALESA	Rúa da Unión Barcalesa
RU CASTELAO	Rúa de Castelao
CL NELSON MANDELA	Rúa de Nelson Mandela
RU ROSALIA CASTRO	Rúa de Rosalía de Castro
RU SERZEDO	Rúa de Serzedo
RU TERESA FABEIRO CAAMAÑO	Rúa de Teresa Fabeiro Caamaño
RU VICTOR GARCIA FERREIRO	Rúa de Víctor García Ferreiro
RU XOSE F PENSADO POUSA	Rúa de Xosé Francisco Pensado Pousa
RU XOSE M LOPEZ ARDEIRO	Rúa de Xosé Manuel López Ardeiro
RU XULIAN MAGARIÑOS	Rúa de Xulián Magariños
RU CAMIÑO A FISTERRA	Rúa do Camiño de Fisterra
RU CORZAN	Rúa do Corzán
CL PATROCINIO	Rúa do Patrocinio
RU TAMBRE	Rúa do Tambre
RU TOURIO	Rúa do Tourío
