000100100PA57A	000100100PA57A
000106100NH25A	000106100NH25A
000200600NH14G	000200600NH14G
000300100NH15A	000300100NH15A
000301000NH15C	000301000NH15C
000304700NH15C	000301000NH15C
000304800NH15C	000301000NH15C
000400100NH14H	000400100NH14H
000400200NH14H	000400100NH14H
000400500NH14F	000400500NH14F
000401500NH15C	000401500NH15C
000401600NH15C	000401600NH15C
000500100NH15B	000500100NH15B
000500400NH05B	000900100NH05B
000602700NH15C	000602700NH15C
000602800NH15C	15057A50500214
000700300NH25A	000700300NH25A
000702700NH25A	000700300NH25A
000800900NH14H	000801000NH14H
000801000NH14H	000801000NH14H
000900100NH05B	000900100NH05B
000900100NH14E	000900100NH14E
000900100NH15D	000900100NH15D
000900100NH25A	000900100NH25A
000900200NH05B	000900100NH05B
000900200NH15D	000900100NH15D
000900300NH25A	000900100NH25A
001100100NH25A	001100100NH25A
001100200NH25A	001100100NH25A
001100800NH25A	001100100NH25A
001100900NH25A	001100100NH25A
001103200NH15D	001103300NH15D
001103300NH15D	001103300NH15D
001103800NH15D	001103300NH15D
001103900NH15D	001103300NH15D
001200400NH14H	001200400NH14H
001204300NH25A	001100100NH25A
001204400NH25A	001100100NH25A
001204500NH25A	000700300NH25A
001300100NH14H	001300100NH14H
001300100NH25A	001300100NH25A
001300200NH14H	001300100NH14H
001300200NH25A	001300200NH25A
001301800NH15E	001301800NH15E
001400100NH15D	000900100NH15D
001400200NH15D	15057A51100234
001400300NH15B	001400300NH15B
001400300NH15D	000900100NH15D
001400900NH15B	001400300NH15B
001401000NH15B	001401000NH15B
001502000NH05B	001502000NH05B
001502100NH05B	001502000NH05B
001503200NH25A	001503200NH25A
001504400NH25A	001504400NH25A
001504500NH25A	001504400NH25A
001504800NH25A	001504400NH25A
001600300NH25A	001100100NH25A
001600600NH25B	001504400NH25A
001600700NH25B	001504400NH25A
001601200NH15B	001601200NH15B
001603300NH15D	001603300NH15D
001603400NH15D	001603300NH15D
001700100NH15E	15057A51400373
001700200NH15D	001700200NH15D
001700200NH15E	15057A51400373
001704200NH25A	001704200NH25A
001800500NH14H	001300100NH14H
001801200NH14E	001801200NH14E
001801300NH14E	001801200NH14E
001801900NH25A	001801900NH25A
001806300NH25A	001300200NH25A
001806900NH25A	001300200NH25A
001807200NH25A	001300200NH25A
001807400NH25A	001300200NH25A
001900500NH15D	001900500NH15D
001900600NH15D	001900500NH15D
001903500NH15D	001900500NH15D
002000100NH05B	001502000NH05B
002000100NH15B	002000100NH15B
002000200NH15B	002000100NH15B
002000300NH15B	002000100NH15B
002003300NH25A	001504400NH25A
002003400NH25A	002500100NH25A
002100100NH15D	002100100NH15D
002100100NH15E	002100100NH15E
002100200NH25A	002100200NH25A
002200100NH15D	002200100NH15D
002200100NH15E	000301000NH15C
002200200NH15E	000301000NH15C
002200700NH14G	15057A51300031
002200800NH14G	15057A51300031
002205700NH25A	002205700NH25A
002300100NH14G	002300100NH14G
002300100NH14H	001300100NH14H
002300100NH25A	001801900NH25A
002300200NH14H	002300200NH14H
002300500NH14H	002300200NH14H
002300600NH14H	002300200NH14H
002300700NH14H	002300200NH14H
002300800NH14H	15057A50800358
002300900NH14H	002301000NH14H
002301000NH14H	002301000NH14H
002400400NH25A	002400400NH25A
002500100NH25A	002500100NH25A
002500200NH25A	001504400NH25A
15057A00100008	15057A00100008
15057A00100139	002100100NH15E
15057A00300097	15057A00300097
15057A00310283	15057A00300097
15057A00400706	000602700NH15C
15057A00400757	000602700NH15C
15057A00400758	000602700NH15C
15057A02400674	002301000NH14H
15057A02400700	002301000NH14H
15057A03000246	15057A03000246
15057A03000409	15057A03000409
15057A03000411	15057A03000246
15057A03200947	15057A03200947
15057A03300154	15057A03300154
15057A03300230	15057A03300154
15057A03300232	15057A03300154
