AV ESPINA-MS (MATARR0SA SIL)	Avenida Espina-Ms (Matarr0Sa Sil)
AV PONFERRADA (TORENO)	Avenida Ponferrada (Toreno)
AV ASTURIAS (TORENO)	Avenida de Asturias
AV BEMBIBRE (TORENO)	Avenida de Bembibre
AV BERLANGA (TORENO)	Avenida de Berlanga
AV BIERZO-MS (MATARR0SA SIL)	Avenida del Bierzo
AV POLIDEPORTIVO-MS	Avenida del Polideportivo
BO ABAJO-SM	Barrio Abajo-Sm
BO ALINOS (TORENO)	Barrio Alinos (Toreno)
BO ARRIBA-TR (MELANDRERAS-TR)	Barrio Arriba
BO BARREIRO-TR (TOMBRIO ARRIBA)	Barrio Barreiro
BO CAMPO-TR (MELANDRERAS-TR)	Barrio Campo
BO CEMENTERIO-TR (MELANDRERAS-TR)	Barrio Cementerio
BO ARRIBA-VA	Barrio de Arriba
CL 1-SL	Calle 1-Sl
CL 11 (TORENO)	Calle 11 (Toreno)
CL 2-SL	Calle 2-Sl
CL 3-MS	Calle 3-Ms
CL 4-SL	Calle 4-Sl
CL 5-SL	Calle 5-Sl
CL ALCAZAR TOLEDO-MS	Calle Alcazar Toledo-Ms
CL BALBON-SP (S PEDRO MALLO)	Calle Balbón
CL BARRIO-TB	Calle Barrio
CL BARRIO-LI (LIBRAN)	Calle Barrio-Li (Libran)
CL BARRIOSECO-TR (MELANDRERAS-TR)	Calle Barrioseco
CL BOUBA-TB	Calle Bouba
CL CALZADOS-TR (MELANDRERAS-TR)	Calle Calzados
CL CAMPO-MS (MATARR0SA SIL)	Calle Campo
CL CAMPO-SP (S PEDRO MALLO)	Calle Campo
CL CANAL-SP (S PEDRO MALLO)	Calle Canal
CL CARREIRON-PR	Calle Carreirón
CL CERVANTES (TORENO)	Calle Cervantes
CL CIMA VILLA-VT (VILLAR TRAVIESA)	Calle Cima Vieja
CL COLON (TORENO)	Calle Colón
CL CONDE DQ OLI-MS (MATARR0SA SIL)	Calle Conde Duque de Olivares
CL CUESTA TORRE (TORENO)	Calle Conde de Toreno
CL CONDE TORENO (TORENO)	Calle Conde de Toreno
CL CORTINA-TB	Calle Cortina
CL COTROSA-TB	Calle Cotrosa
CL COUSO-TB	Calle Couso
CL CRISTO-SM	Calle Cristo
CL CRISTO (TORENO)	Calle Cristo (Toreno)
CL DR GARCIA CASAS (TORENO)	Calle Doctor García Casas
CL DOS DE MAYO (TORENO)	Calle Dos de Mayo
CL MAYUELO (TORENO)	Calle Dos de Mayo
CL BARRIO (TORENO)	Calle El Barrio
CL RETIRO (TORENO)	Calle El Retiro
CL RETORNO (TORENO)	Calle El Retorno
CL TORENILLO (TORENO)	Calle El Retorno
CL ROLLO (TORENO)	Calle El Rollo
CL ERAS-SP (S PEDRO MALLO)	Calle Eras
CL ERMITA-SP (S PEDRO MALLO)	Calle Ermita
CL ESCUELA-VA	Calle Escuela
CL ESCUELAS-TR (MELANDRERAS-TR)	Calle Escuelas
CL GARCIA LORCA (TORENO)	Calle Federico García Lorca
CL FUENTE-SP (S PEDRO MALLO)	Calle Fuente
CL GENERAL MOSC-MS	Calle General Mosc-Ms
CL GENERAL MOSCARDO (TORENO)	Calle General Moscardo (Toreno)
CL GIL Y CARRASCO-MS	Calle Gil y Carrasco
CL GRANJA-PR	Calle Granja
CL IGLESIA (TORENO)	Calle Iglesia
CL IGLESIA-VT (VILLAR TRAVIESA)	Calle Iglesia-Vt (Villar Traviesa)
CL INSTITUTO (TORENO)	Calle Instituto
CL JOSE ESPRONCEDA-MS (MATARR0SA SIL)	Calle José Espronceda
CL JOSE ZORRILLA (TORENO)	Calle José Zorrila
CL BRAÑA-SM	Calle La Braña
CL REAL (TORENO)	Calle La Cepa
CL CEPA (TORENO)	Calle La Cepa
CL CHANA (TORENO)	Calle La Chana
CL FORNILLA (TORENO)	Calle La Fornilla
CL PRESA (TORENO)	Calle La Presa
CL RESIDENCIA (TORENO)	Calle La Residencia
CL LACIANA-MS (MATARR0SA SIL)	Calle Laciana
CL LENGIO-VT (VILLAR TRAVIESA)	Calle Lengio
CL HEROES (TORENO)	Calle Los Héroes
CL TEMPLARIOS-MS (MATARR0SA SIL)	Calle Los Templarios
CL MATA-TB	Calle Mata
LG MELANDRERAS-TR (MELANDRERAS-TR)	Calle Melandreras
CL MOLINO (TORENO)	Calle Molino (Toreno)
CL NAVAS TOLOSA-MS	Calle Navas de Tolosa
CL NUEVA (TORENO)	Calle Nueva
CL OTERO (TORENO)	Calle Otero
CL PEDRO I-MS (MATARR0SA SIL)	Calle Pedro I
CL PICO VILLA-PR	Calle Pico Villa
CL PIEDRA-LI (LIBRAN)	Calle Piedra-Li (Libran)
CL PIZARRO-MS	Calle Pizarro
CL PONFERRADA-MS (MATARR0SA SIL)	Calle Ponferrada
CL PRIETOS-TR (MELANDRERAS-TR)	Calle Prietos
CL PRINCIPAL-SL	Calle Principal
CL PROHIDA-TB	Calle Prohida
CL PUENTE (TORENO)	Calle Puente
CL RAMON Y CAJAL (TORENO)	Calle Ramón y Cajal
CL REAL-MS (MATARR0SA SIL)	Calle Real
CL CORZO REAL-MS	Calle Real
CL LA MARQUESA (PRADILLA)	Calle Requejo
CL REQUEJO-PR	Calle Requejo
CL DR RDGUEZ FUENT (TORENO)	Calle Rodríguez de la Fuente
CL SAN PEDRO (TORENO)	Calle San Pedro
CL SORELLANA-LI (LIBRAN)	Calle Sorellana
CL TRIANA (TORENO)	Calle Triana
CL VALENCIA ALC-MS	Calle Valencia de Alcántara
CL VALLENTIN-TR (MELANDRERAS-TR)	Calle Vallentín
CL VALLINA-SP (S PEDRO MALLO)	Calle Vallina
CL VILLA GAZTELUME (TORENO)	Calle Villa Gaztelume
CL VIZCONDE-MS	Calle Vizconde de Matarrosa
CL CORREDERA (TORENO)	Calle de la Corredera
CL FUENTE (TORENO)	Calle de la Fuente
CL RIBANCOS (TORENO)	Calle de los Ribancos
CL CID-MS	Calle del Cid
CL CAMPILLO (TORENO)	Calle el Campillo
CL CAMPO-TB	Calle el Campo
CL CAMPO-VA	Calle el Campo
CL CAMPO-TR (MELANDRERAS-TR)	Calle el Campo
CL CASTRO-LI (LIBRAN)	Calle el Castro
CL CAMPO-LI (LIBRAN)	Calle el Castro
