AV SALAMANCA, AVDA. DE	Avenida de Salamanca
CL AFUERAS	Calle Afueras
CL ALAMOS, CALLE DE LOS	Calle de los Álamos
CL ANTONIO MACHADO	Calle Antonio Machado
CL ARICADORES	Calle Aricadores
CL AZORIN	Calle Azorín
CL B	Calle B
CL BELORTA	Calle Belorta
CL CALLEJA	Calle Calleja
CL CANTARRANAS	Calle Cantarranas
CL CLAVIJAL	Calle Clavijal
CL CRIBADORES,CALLE	Calle Cribadores
CL CUESTA	Calle Cuesta
CL ESTRECHA	Calle Estrecha
CL GAVILLADORES	Calle Gavilladores
CL LUNA	Calle Luna
CL MANCERA	Calle Mancera
CL PALACIOS	Calle Palacios
CL PESCUÑO	Calle Pescuño
CL POZO GOMEZ	Calle Pozo Gomez
CL REJA	Calle Reja
CL SECTOR AP-UR-4	Calle Yugo
CL TENTENECIO	Calle Tentenecio
CL TORNADORES	Calle Tornadores
CL TRAVIESA	Calle Traviesa
CL YUGO	Calle Yugo
CL CARMEN MARTIN GAITE,CALLE	Calle de Carmen Martín Gaite
CL ENRIQUE CAVERO	Calle de Enrique Cabero
CL GRANADA	Calle de Granada
CL INMACULADA ENCINAS	Calle de Inmaculada Encinas
CL MIGUEL DE UNAMUNO	Calle de Miguel de Unamuno
CL POLAVIEJA	Calle de Polavieja
CL PIO BAROJA	Calle de Pío Baroja
CL RICARDO MONTILLA	Calle de Ricardo Montilla
CL ROBERTO RUANO	Calle de Roberto Ruano
CL SANTIAGO DE COMPOSTELA	Calle de Santiago de Compostela
CL SEGOVIA	Calle de Segovia
CL TOLEDO	Calle de Toledo
CL ENMEDIO,CALLE	Calle de en Medio
CL ARMUÑA,CALLE DE LA	Calle de la Armuña
CL CRUZ,CALLE DE LA	Calle de la Cruz
CL GAVIA	Calle de la Gavia
CL IGLESIA	Calle de la Iglesia
RD PUEBLO, RONDA DEL	Calle de la Ronda del Pueblo
CL ERAS	Calle de las Eras
CL FUENTES, CALLE DE LAS	Calle de las Fuentes
CL PINOS, CALLE DE LOS	Calle de los Pinos
CL ARENAL	Calle del Arenal
CL PRINCIPE DE ASTURIAS	Calle del Príncipe de Asturias
CL ROBLES, CALLE LOS	Calle del Sol
CL SOL, CALLE DEL	Calle del Sol
CL VISO, CALLE DEL	Calle del Viso
CL CAÑADA,CALLE LA	Calle la Cañada
CL LAGUNA	Calle la Laguna
CM MAJUELOS, CAMINO DE LOS	Camino de los Majuelos
CM ALDEALAMA	Camino Carmen Aldealama
CM CASTELLANOS, DE	Camino de Castellanos
CM ZORRERAS, CAMINO DE LAS	Camino de las Zorreras
CR SALAMANCA-TORO, CTRA.	Cañada de Salamanca a Toro
PS ENCINA,PASEO DE LA	Paseo de la Encina
PZ MANUEL ESCUDERO	Plaza de Manuel Escudero
PZ ESPAÑA	Plaza de España
CL RONDA PALACIOS, CALLE	Ronda Palacios
