CL POLEGRE (ARICO VIEJO)	Lugar Polegre
AU SUR TF-1 (PORIS DE ABONA)	
CL CABILDO INSULAR (SAN MIGUEL TAJA)	Avenida Cabildo Insular
UR CANTERAS DEL SOL (PP CAN) (PORIS DE ABONA)	Avenida Canteras del Sol
AV CANTERAS DEL SOL (PORIS DE ABONA)	Avenida Canteras del Sol
AV CALETA LA (SAN MIGUEL TAJA)	Avenida la Caleta
AV MARITIMA (PORIS DE ABONA)	Avenida Maritima
AV MARITIMA (PP LAS LISTADA) (PORIS DE ABONA)	Avenida Marítima
CL NUESTRA SEÑORA CARMEN (PORIS DE ABONA)	Avenida Nuestra Señora del Carmen
AV OCIRA (PORIS DE ABONA)	Avenida Ocira
AV PUNTA LOS SURCOS (EL RIO) (RIO EL)	Avenida Punta los Surcos
AV SANTIAGO (SAN MIGUEL TAJA)	Avenida Santiago
AV VERA DE CANDELARIA (PORIS DE ABONA)	Avenida Vera de Candelaria
CL VILLA DE ARICO (PORIS DE ABONA)	Avenida Villa de Arico
CL MADRE AGUA (ICOR)	Lugar Madre del Agua
BO CALETA (ARICO NUEVO)	
CL 1 (LAS ERAS ALTAS) (ICOR)	
CL DEICISEIS DE MAYO (PORIS DE ABONA)	Calle 16 de Mayo
CL 2 (LAS ERAS ALTAS) (ICOR)	
CL 3 (LAS ERAS ALTAS) (ICOR)	
CL 4 (LAS ERAS ALTAS) (ICOR)	
CL 5 (LAS ERAS ALTAS) (ICOR)	
CL 6 (LAS ERAS ALTAS) (ICOR)	
CL A VIEJO (ARICO VIEJO)	
CL ABADES (PORIS DE ABONA)	Calle Abades
CL ABONA (PORIS DE ABONA)	Calle Abona
CL ABORA (ICOR)	
CL AGUA DULCE (PORIS DE ABONA)	Calle Agua Dulce
CL AGUABERQUE (PORIS DE ABONA)	Calle Aguaberque
CL ALCALDE ANTONIO YANES MOR (PORIS DE ABONA)	Calle Alcalde Antonio Yanes Morales
CL ALCALDE FCO RGUEZ POMAR (PORIS DE ABONA)	Calle Alcalde Francisco Rodríguez Pomar
CL ALCALDE FCO MORALES HDEZ (PORIS DE ABONA)	Calle Alcalde Francisco Morales Hernández
CL ALCALDE FULGENCIO MAR GON (PORIS DE ABONA)	Calle Alcalde Fulgencio Martín González
CL ALCALDE LUCIO C. GONZALEZ (PORIS DE ABONA)	Calle Alcalde Lucio Crisóstomo González
CL ALCALDE RICARDO PONCE NUÑ (PORIS DE ABONA)	Calle Alcalde Ricardo Ponce Núñez
CL ALCALDE JUAN HDEZ SAAVEDR (PORIS DE ABONA)	Calle Alcalde Juan Hernández Saavedra
CL ALCALDE RODRIGUEZ MEDINA (PORIS DE ABONA)	Calle Alcalde Rodríguez Medina
CL ALCALDE SILVESTRE MARRERO (PORIS DE ABONA)	Calle Alcalde Silvestre Marrero Marrero
CL ALTAVISTA (SAN MIGUEL TAJA)	Calle Altavista
CL CALETA (PP LA CALETA) (SAN MIGUEL TAJA)	Avenida la Caleta
CL AMELIA (PP LA CALETA) (SAN MIGUEL TAJA)	Calle Amelia
CL AMISTAD (LAS ERAS ) (PORIS DE ABONA)	Calle Amistad
CL ARAFO (PORIS DE ABONA)	Calle Arafo
CL ARCHIPENQUE (VILLA DE ARICO)	
CL ARENA (PORIS DE ABONA)	Calle Arena
CL ARICO (PP LAS LISTADAS) (PORIS DE ABONA)	Calle Arico
CL ARICO (SAN MIGUEL TAJA)	Calle Arico
CL ARICO (PORIS DE ABONA)	Calle Arico
CL ATALAYA (PORIS DE ABONA)	Calle Atalaya
CL AZAÑA (RESTO)	
CL BAHIA (PORIS DE ABONA)	Calle Bahia
CL BARRANCO OBISPADO (RESTO)	Calle Barranco Obispado (Resto)
CL BARRANQUILLO (ARICO VIEJO)	Calle El Barranquillo
CL BARRERO (RIO EL)	Calle El Barrero
CL BARROSO (PP LAS LISTADAS) (PORIS DE ABONA)	Calle Barroso
CL BASTIAN (RIO EL)	Calle Bastián
CL BELLAVISTA (SAN MIGUEL TAJA)	Calle Bellavista
CL BENITEZ LUGO (VILLA DE ARICO)	Calle Benítez de Lugo
CL BERGES (PORIS DE ABONA)	Calle Berges
CL BIENVENIDA (PORIS DE ABONA)	Calle Bienvenida
CL BOCHE (EL RIO) (RIO EL)	Calle Boche
CL BREZO (PORIS DE ABONA)	
CL BRISAS DEL MAR (SAN MIGUEL TAJA)	Calle Brisas del Mar
CL BUENAVISTA (PORIS DE ABONA)	
CL BUENO (ICOR)	Lugar Bueno
CL CABEZADA (ICOR)	
UR CALETA MARIA LUISA (PORIS DE ABONA)	
CL CALETA MARIA LUISA (PORIS DE ABONA)	Calle Caleta Maria Luisa
CL CALETON (PORIS DE ABONA)	Calle Caletón
CL CALLADO HONDO (SAN MIGUEL TAJA)	Calle Callado Hondo
CL CALLE NUEVA (ARICO VIEJO)	Calle Calle Nueva
CL CALLEJON (CISNERA LA)	
CL CALLEJON EL (LA CISNERA) (CISNERA LA)	
CL CALLEJON EL CONVENTO (ARICO VIEJO)	
CL CALVARIO (VILLA DE ARICO)	Calle Calvario
CL GAVILANES (GAVILANES LOS)	Calle Los Gavilanes
CL CANDELARIA (PP LAS LISTA) (PORIS DE ABONA)	Calle Candelaria
CL CANDELARIA (PORIS DE ABONA)	Calle Candelaria
CL CARDON (PORIS DE ABONA)	Calle Cardón
CL CARDON (PP LA JACA) (PORIS DE ABONA)	Calle Cardón
CL CARRETERA PORIS (ARICO VIEJO)	
CL CASAS C (RESTO)	
CL CASAS PROTEGIDAS (VILLA DE ARICO)	Calle Virgen de Abona
CL CASERIO (CISNERA LA)	Calle Gelesa
CL CASITAS LAS (VILLA DE ARICO)	
CL CEDRO (LA JACA) (PORIS DE ABONA)	Calle Cedro
CL CERITAS (SAN MIGUEL TAJA)	
CL CHAJAÑA (ICOR)	
CL CHASNA (SAN MIGUEL TAJA)	Calle Chasna
CL CHOPINO (PP PORIS) (PORIS DE ABONA)	Calle Cho Pino
CL COLMENEROS (ICOR)	
CL CONCHAS MARINAS (PP LA C) (SAN MIGUEL TAJA)	Calle Conchas Marinas
CL CONSTITUCION (ARICO VIEJO)	Calle Constitución
CL CONTADOR (VILLA DE ARICO)	Carretera El Contador
CL CORTADA (TEGUEDITE) (GAVILANES LOS)	
CL CRUCITA (CISNERA LA)	Calle las Crucitas
CL CRUZ DE TEA (SAN MIGUEL TAJA)	Calle Cruz de Tea
CL CUEVITAS (LA CISNERA) (CISNERA LA)	
CL AURORA DE LA (SAN MIGUEL TAJA)	Calle de la Aurora
CL CRUZ (ARICO VIEJO)	Calle de La Cruz
CL DIEZ DE AGOSTO (PORIS DE ABONA)	Calle Diez de Agosto
CL DOMINGO DIAZ PEREZ (SAN MIGUEL TAJA)	Calle Domingo Díaz Pérez
CL DOMINGO ZACARIAS (PORIS DE ABONA)	Calle Domingo Zacarías
CL TORREON (PORIS DE ABONA)	Calle Torreón
CL DRAGO (PORIS DE ABONA)	Calle Drago
CM EL BARRANCO (EL RIO) (RIO EL)	Calle el Barranco
CL BARRANCO (RIO EL)	Calle el Barranco
CL ARICO VIEJO (ARICO VIEJO)	
CL LOMO CAPITAN (CISNERA LA)	Calle el Capitán
CL CISNERA (CISNERA LA)	
CL CAPITAN EL (PORIS DE ABONA)	Calle el Capitán
CL CARMEN (VILLA DE ARICO)	Calle El Carmen
CL CARMEN EL (PORIS DE ABONA)	Calle El Carmen
CL CALLEJON TERRERO (VILLA DE ARICO)	Callejón el Terrero
CL CALLEJON LLANO (VILLA DE ARICO)	Callejón el Llano
CL CASINO (PP PORIS) (PORIS DE ABONA)	Calle el Casino
CL CHARCO EL (SAN MIGUEL TAJA)	Calle el Charco
CL DRAGO EL (SAN MIGUEL TAJA)	Calle el Drago
CL ESCOLAR EL (PORIS DE ABONA)	Calle el Escolar
CL FARO EL (PORIS DE ABONA)	Calle el Faro
CL FRONTON (ARICO VIEJO)	Calle El Frontón
CL GUANCHE (PORIS DE ABONA)	Calle el Guanche
CL GUINCHO EL (PORIS DE ABONA)	Calle el Guincho
CL LOMITO (EL RIO) (RIO EL)	Calle el Lomito
CL GORITOS (RIO EL)	Calle los Goritos
CL LOMO EL (SAN MIGUEL TAJA)	Calle EL Lomo
CL MANANTIAL (PORIS DE ABONA)	Calle el Manantial
CL MANZANO (VILLA DE ARICO)	Calle el Manzano
CL MIRADOR EL (PORIS DE ABONA)	Calle el Mirador
CL MOLINO (DEGOLLADA) (ARICO VIEJO)	Calle El Molino
CL MORRO EL (SAN MIGUEL TAJA)	Calle el Morro
CL PESCADOR (PORIS DE ABONA)	Calle el Pescador
CL PINO (EL RIO) (RIO EL)	Calle el Pino
CL EL PORTILLO (SABINITA) (ARICO VIEJO)	
CL POZO EL (PORIS DE ABONA)	Calle el Pozo
CL RINCON (VILLA DE ARICO)	Calle el Rincón
CL RIO EL (SAN MIGUEL TAJA)	Calle el Río
CL RISCO (PORIS DE ABONA)	Calle el Risco
CL ROCIO EL (CANTERAS SOL) (PORIS DE ABONA)	Calle el Rocío
CL TIMON EL (PORIS DE ABONA)	Calle el Timón
CL ELADIO MORALES (PORIS DE ABONA)	Calle Eladio Morales
CL ELEUTERIO (PORIS DE ABONA)	Calle Eleuterio
CL ENSENADA (PORIS DE ABONA)	Calle Ensenada
CL ERAS (PORIS DE ABONA)	
CL ERITAS (ARICO VIEJO)	Lugar Las Eritas
CL ERITAS LAS (ARICO VIEJO)	Lugar Las Eritas
CL ESCONDIDA (RIO EL)	
CL FASNIA (PORIS DE ABONA)	Calle Fasnia
CL VIRGEN FATIMA (PORIS DE ABONA)	Calle Fatima
CL FLORIDA (ICOR)	Lugar La Florida
CL FRANCISCOS LOS (CISNERA LA)	
CL FRONTERA (SAN MIGUEL TAJA)	Calle Frontera
CL GARAJONAY (EL RIO) (RIO EL)	Calle Garajonay
CL GELESA (CISNERA LA)	Calle Gelesa
CL GUIMAR (PORIS DE ABONA)	Calle Güímar
CL HACIENDA (ARICO VIEJO)	
CL HEDIONDO (ARICO VIEJO)	Lugar Hediondo
CL HIGUERA (PORIS DE ABONA)	Calle Higera
CL HORNO BUEY (ICOR)	Lugar Horno del Buey
CL HOYA CHICA (ICOR)	Lugar Hoya Chica
CL HOYA ESCOBAS (RIO EL)	Calle Hoya de las Escobas
CL ICOR (ICOR)	Lugar Icor
CL IMUSE (ICOR)	Lugar Imoses
CL IRICHEN (ARICO VIEJO)	
CL JACA (PORIS DE ABONA)	
CL JORGES (ICOR)	
CL JOSE ALBERTO (PP PORIS) (PORIS DE ABONA)	
CL JUANA ESTEVEZ (SAN MIGUEL TAJA)	Calle Juana Estévez
CL JUNCO (PORIS DE ABONA)	Calle Junco
CL AMELIA LA (PORIS DE ABONA)	Calle la Amelia
CL ASOMADITA (VILLA DE ARICO)	Calle La Asomadita
CL BAJA LA (PORIS DE ABONA)	Calle la Baja
CL BARCA LA (PORIS DE ABONA)	Calle la Barca
CL CENTINELA (PORIS DE ABONA)	Calle la Centinela
CL COSTA (PORIS DE ABONA)	Calle la Costa
CL DEGOLLADA (ARICO VIEJO)	Calle La Degollada
CL DEGOLLADA (DEGOLLADA) (ARICO VIEJO)	Calle La Degollada
CL ESTOPA (VILLA DE ARICO)	Calle la Estopa
CL GAVIOTA LA (SAN MIGUEL TAJA)	Calle la Gaviota
CL GRACIOSA LA (PORIS DE ABONA)	Calle la Graciosa
CL GRACIOSA LA (SAN MIGUEL TAJA)	Calle la Graciosa
CL MARINA LA (CANTERAS SOL) (PORIS DE ABONA)	Calle la Marina
CL MARINA LA (SAN MIGUEL TAJA)	Calle la Marina
CL LOMITO (A VIEJO) (ARICO VIEJO)	Calle El Lomito
CL MORRA (PP PORIS) (PORIS DE ABONA)	Calle la Morra
CL MORRA (ICOR)	
CL MEDIDA (A VIEJO) (ARICO VIEJO)	Calle La Medida
CL MORRA (A VIEJO) (ARICO VIEJO)	Calle la Morra
CL OLA LA (PORIS DE ABONA)	Calle la Ola
CL OROTAVA (SAN MIGUEL TAJA)	Calle la Orotava
CL PALOMA LA (CANTERAS SOL) (PORIS DE ABONA)	Calle la Paloma
CL PIEDAD (PP LAS LISTADAS) (PORIS DE ABONA)	Calle la Piedad
CL PIEDRA LA (PORIS DE ABONA)	Calle la Piedra
CL PLAYA LA (SAN MIGUEL TAJA)	Calle la Playa
CL PUNTILLA LA (PORIS DE ABONA)	Calle la Puntilla
CL QUINTA LA (RIO) (RIO EL)	Calle La Quinta
CL RESPINGA (PORIS DE ABONA)	Calle la Respinga
CL ROCA LA (SAN MIGUEL TAJA)	Calle la Roca
CL VELA LA (PORIS DE ABONA)	Calle la Vela
CL VERA HERRERA (VILLA DE ARICO)	Calle la Vera
CL VERA (VILLA DE ARICO)	Calle la Vera
CL CARACOLAS (PP LA CALETA) (SAN MIGUEL TAJA)	Calle las Caracolas
CL CASTILLO (PORIS DE ABONA)	Calle Castillo
CL ESCALERAS LAS (SAN MIGUEL TAJA)	Calle las Escaleras
CL FIGURAS (A VIEJO) (ARICO VIEJO)	Calle Las Figuras
CL FLORES (RIO EL)	Calle las Flores
CL GAVIOTAS LAS (PORIS DE ABONA)	Calle las Gaviotas
CL SERRADERO (SABINITA) (ARICO VIEJO)	
