CL FRANCISCO PIZARRO (PUERTITO GUIMAR)	Calle Francisco Pizarro		
CL SIMON BOLIVAR (GUIMAR)			
CM MONTAÑA	Camino la Montaña		
CL PASAJE DEL HORNO (TABLADO)	Pasaje del Horno		
LG ANCON (GUIMAR)			
CL TAFETANA (GUIMAR)	Calle Tafetana		
CL LOMO GRILLO ABAJO (GUIMAR)	Calle Lomo Grillo Abajo		
CJ CENTRAL (GUIMAR)	Callejón Central		
CL AMAROS (GUIMAR)	Calle Amaros		
CL NEPTUNO (BARRANCOS LOS)	Calle Neptuno		
DS RESBALA ABAJO (MEDIDA LA)			
CL ANASTASIO BRAVO FIGUEROA (GUIMAR)	Calle Anastasio Bravo Figueroa		
CL DOCTOR DIAZ NUÑEZ (GUIMAR)	Calle Doctor Díaz Núñez		
CL HOYA (GUIMAR)	Calle la Hoya		
CL DEHESAS (GUIMAR)			
CL TAMBORA (EL ESCOBONAL) (ESCOBONAL EL)	Camino Tambora de Abajo		
LG MALPAIS (GUIMAR)			
CL RINCON (GUIMAR)	Calle el Rincón
DS LOMO EL BUENO (LOMO DE MENA)			
DS ASIENTOS LOS (LOMO DE MENA)			
DS HOYA DEL CERCO (GUIMAR)			
CL MIGUEL CASTIL 1 (GUIMAR)		falta	
CR ARAFO (GUIMAR)	Carretera Arafo - Güimar		
PZ DIECIOCHO JULIO (GUIMAR)		falta	
CJ MOLINA (GUIMAR)	Calle Molina		
TR TERCERA AMAROS (GUIMAR)		falta	
CL CANARIAS (GUIMAR)	Calle Canarias		
CM COLORADAS LAS (CJ 3)HOYA (GUIMAR)	Camino las Coloradas		
CL COSTA RICA (GUIMAR)		falta	
LG LOMO (GUIMAR)			
BR ZARZALES (GUIMAR)	Camino de los Zarzales		
AV GUIMAR (CALETA LA)	Avenida Güímar		
DS CAÑADAS LAS (GUIMAR)			
CM BARRANCO (DEL) (GUIMAR)		falta	
LG MORRA ABAJO (GUIMAR)	Calle Morra de Abajo		
CL CANDE LATERAL 1 (GUIMAR)		falta	
DS LOMO LA MEDIDA (MEDIDA LA)			
CL ARRASTRADERO (PAJARA)	Camino del Arrastradero		
DS LOMO DE PAJARA (PAJARA)			
DS MONTAÑA ARRIBA (ESCOBONAL EL)	Camino de Arriba		
CL QUEBRADA (ESCOBONAL EL)			
CL PUENTE LA NOVENA (PUENTE LA)		falta	
CM ACHACAY (ESCOBONAL EL)	Camino de Achacay		
CL LOMO MOLINO (GUIMAR)	Calle Lomo Molino		
CL PABLO IGLESIAS (GUIMAR)	Calle Pablo Iglesias		
CL SAN ANTONIO DE TEJAS (GUIMAR)	Calle San Antonio de Texas		
CM CORUJERA LA (GUIMAR)	Camino de la Corujera		
PZ INDIAS LAS (PUERTITO GUIMAR)		falta	
PR ASOMADA (GUIMAR)			
CL VERA ARRIBA (GUIMAR)	Calle Vera de Arriba		
CL PATRON FELIPE DELGADO (BARRANCOS LOS)		falta	
CL DRAGO (SOCORRO)	Calle el Drago		
CM BRUJAS LAS		falta	
CL CALETA SEXTA (CALETA LA)	Calle Madeira	falta	
PR SOMADA SAN JUAN (GUIMAR)			
CJ OBISPO PEREZ CACERES (GUIMAR)	Avenida Obispo Pérez Cáceres		
PL IND VALLE GUIMAR MANZ-H (SOCORRO)			
CL ERA MIGUEL (GUIMAR)	Calle Era de Miguel		
DS GUIRRES LOS (PUERTITO GUIMAR)			
LG MORRA ARRIBA (GUIMAR)	Calle Morra de Arriba		
PR SAN FRANCISCO JAVIER (GUIMAR)	Calle Tagoror		
CL OBRERO (GUIMAR)	Calle el Obrero		
PL IND VALLE GUIMAR MANZ-I (SOCORRO)			
LG MONTAÑA ABAJO (ESCOBONAL EL)	Montaña de Abajo		
TR AGUA PRIMERA (GUIMAR)			
CL CUBA (GUIMAR)	Calle Cuba		
LG HOYA D ANSELMO (GUIMAR)	Camino Hoya de Don Anselmo		
CR PUERTO TERCERA LATERAL (GUIMAR)			
DS BARRANCO GUAZA (GUIMAR)			
CL CANDELAR 2 LATE (GUIMAR)		falta	
CL SALAMANCA (GUIMAR)	Calle Salamanca		
DS FREGENAL (GUIMAR)			
CL PUERTO DE AGACHE (TABLADO)	Calle Puerto de Agache		
BO ESCOBONAL (ESCOBONAL EL)			
LG CAÑADAS LAS (GUIMAR)	Camino de las Cañadas		
CL LAGUNA (GUIMAR)	Calle de La Laguna		
DS ARRASTRADERO AB (PAJARA)	Lomo Arrastradero de Abajo		
CJ SUR (GUIMAR)		
BO AFONSO CARRILLO (GUIMAR)			
PR TARO (GUIMAR)		REVISAR	
PR CASA BLANCA (GUIMAR)			
CL CARDON (SOCORRO)	Calle el Cardón		
CL ARAFO (GUIMAR)	Calle Arafo		
CL MARQUES STA CRU (PUERTITO GUIMAR)	Calle Marqués de Santa Cruz		
BO MEDIDA (MEDIDA LA)	Lugar La Medida		
CL JOSE MARTI (GUIMAR)	Calle José Martí		
CL BAYON (ESCOBONAL EL)		falta	
CL FOMENTO (GUIMAR)		falta	
CL SOCORRO (GUIMAR)	Camino del Socorro		
PR ARGENTINA (GUIMAR)	Calle Cuba		
CL TONINAS (BARRANCOS) (BARRANCOS LOS)	Calle Toninas		
CL AMEA (ESCOBONAL EL)		falta	
CL LOMO GRANDE ABAJO (GUIMAR)	Calle Lomo Grande Abajo		
CL ALMIRANTE CERVERA (PUERTITO GUIMAR)	Calle Almirante Cervera		
CL AHULAGA (SOCORRO)	Calle Aulaga		
CL LEPANTO (PUERTITO GUIMAR)	Calle Lepanto		
LG ROSAS (GUIMAR)	Lugar Las Rosas		
CL PUENTE LA SEPTIMA (PUENTE LA)		http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2853404CS6225S	falta
DS PLANTA (GUIMAR)			
LG HOYA CORRAL (GUIMAR)			
CM LOMO DEL CAMELLO (GUIMAR)			
CL REAL (GUIMAR)	Camino Real		
CJ LAUREANO GONZALEZ ROSA (GUIMAR)	Calle Laureano González Rosa		
CR PUENTE LA (PUENTE LA)	Avenida Litoral de Agache		
CL PUENTE LA QUINTA (PUENTE LA)			
PR VALERAS (GUIMAR)			
CL JUAN PEDRO RODRIGUEZ CRUZ (PUERTITO GUIMAR)	Calle Juan Pedro Rodríguez Cruz		
CL PUENTE LA TERCERA (PUENTE LA)		http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2955212CS6225S	falta
PS CRUZ ROJA (PUERTITO GUIMAR)			
CL JUAN RODRIGUEZ (PUERTITO GUIMAR)	Calle Juan Rodríguez de Triana		
BO CHACAICA (GUIMAR)			
DS LOMO RELLENO (LOMO DE MENA)	Lomo del Relleno de Arriba		
CL BARRANQUILLO CNO.REAL (GUIMAR)			
CR PUERTO (GUIMAR)	Carretera del Puertito		
CL MARIA J.PEREZ DIAZ (TABLADO)	Calle María Julia Pérez Díaz		
BO FATIMA (GUIMAR)			falta
CL GUAZA (GUIMAR)	Calle Guaza		
DS LAUREANO GLEZ R (GUIMAR)	Calle Laureano González Rosa		
CL LOMITO (GUIMAR)	Calle Lomito		
CJ MUDA (GUIMAR)		http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1728410CS6312N	falta
CL TABAIBA (SOCORRO)	Calle Tabaiba		
CL MADEIRA (CALETA LA)	Calle Madeira		
CL CANGUIRAFO DE AGACHE (CALETA LA)	Calle Canguirafo de Agache		
DS LOMO DE PABLO (LOMO DE MENA)		falta	
DS PUNTA PRIETA (PUNTA PRIETA)			
CL CALETA SEPTIMA (CALETA LA)		falta	
CL CANDELARIA (GUIMAR)	Calle Candelaria		
CL SAN PEDRO ARRIBA (GUIMAR)	Calle San Pedro Arriba		
DS RIEGO EL (GUIMAR)			
CL LOMO VERA ABAJO (GUIMAR)	Calle Vera de Abajo		
CL JUAN AUSTRIA (PUERTITO GUIMAR)	Calle Juan de Austria		
PR CRUCES (GUIMAR)			
DS BARRANCO EL (BARRANCOS LOS)			
TR DRAGO PRIMERA (SOCORRO)			
CM HURONES DE LOS (GUIMAR)			
CM HOYA DEL CORRAL			
CL CALETA (CALETA LA)			
PZ SAN CARLOS (TABLADO)		falta	
CL POZO EL (GUIMAR)			
AV MARITIMA EL TABLADO (TABLADO)	Avenida Marítima		
