AV MATAMONS	Avinguda Matamons
AV PABLO IGLESIAS POSSE	Avinguda Pablo Iglesias Posse
AV RONDA D'EUROPA	Avinguda Ronda de Europa
AV ANTONIO ALMELA	Avinguda d'Antoni Almela
CL AUSIAS MARCH	Avinguda d'Ausiàs March
AV CARLET	Avinguda de Carlet
AV COOPERATIVA VERGE ORETO	Avinguda de Cooperativa Agrícola de l'Oreto
AV GUADASSUAR	Avinguda de Guadassuar
AV MONTORTAL	Avinguda de Montortal
AV RONDA NORD	Avinguda de la Ronda Nord
AV COMTE SERRALLO	Avinguda del Comte de Serrallo
CL MESTRE SERRANO	Avinguda del Mestre Serrano
BO COMES	Barrio Comes
CL ANTONIO MACHADO	Carrer Antonio Machado
CL BARRANCO PRADA	Carrer Barranc Prada
CL CALIG SANCHIS	Carrer Calig Sanchis
CL CALVARIO	Carrer Calvari
CL CINTURON NORESTE	Calle Cinturon Noreste
CL CONVENT	Carrer Convent
CL COSTERA	Carrer Costera
CL CUADRAT	Carrer Cuadrat
CL DANSADORS	Carrer Dansadors
CL DOCTOR FERRAN	Carrer Doctor Ferran
CL DOCTOR FLEMING	Carrer Doctor Fleming
CL DOCTOR GOMEZ FERRER	Carrer Doctor Gomez Ferrer
CL DON JUAN DE AUSTRIA	Carrer Don Juan de Austria
CL ESCOLES	Carrer de les Escoles
CL FALLA DEL MERCAT	Carrer Falla del Mercat
CL J BRU I VIDAL	Carrer J Bru I Vidal
CL LLIBERTAT	Carrer de la Llibertat
CL MANUEL GODA ROS	Carrer de Manuel Goda Ros
CL MATADERO NUEVO	Carrer de l'Escorxador Nou
CL MATADERO VIEJO	Carrer de l'Escorxador Vell
CL MIGUEL HERNANDEZ	Carrer de Miguel Hernandez
CL MONTAÑA	Carrer de la Muntanya
CL MUS J CAMPOS	Carrer Mus J Campos
CL NORIA	Carrer de la Nòria
CL NUMERO   51	Carrer Número 51
CL NUMERO   52	Carrer Número 52
CL PAU	Carrer Pau
CL PROYECTO    A	Carrer Proyecto A
CL RIU RAU	Carrer del Riu Rau
CL SANT JORDI	Carrer de Sant Jordi
CL VALENCIA	Carrer de València
CL VICENTE ALEIXANDRE	Carrer de Vicente Aleixandre Alapont
CL DE JOAQUIN SÀNCHIS MARCO	Carrer de Joaquin Sànchis Marco
CL DE JOSEP MIQUEL BORRÀS	Carrer de Josep Miquel Borràs
CL DE L'OBRERA	Carrer de l'Obrera
CL DE LA PROTECTORA	Carrer de la Protectora
CL DE LA VEDRIOLA	Carrer de la Vedriola
CL LA MOTA	Carrer la Mota
CM MAS	Camino/Carmen Mas
CL 1 DE MAIG	Carrer 1 de Maig
