AV MEDITERRANI	Avinguda del Mediterrani
AV JOAN FUSTER	Avenida de Joan Fuster
AV BLASCO IBAÑEZ	Avinguda de Blasco Ibañez
AV MAJOR	Avinguda Major
CL BUENAVISTA	Avinguda de Buenavista
AV FRANCISCO REDOLAT	Avinguda de Francisco Redolat
CL MUSEROS	Avinguda de Museros
AV NAQUERA	Avinguda de Nàquera
AV RAFELBUÑOL	Avinguda de Rafelbunyol
AV RAVAL	Avinguda de Raval
AV SERRA	Avinguda de Serra
AV VALENCIA	Avinguda de València
AV MAGDALENA	Avinguda de la Magdalena
CL VIRGEN DEL ROSARIO	Avinguda de la Mare de Déu del Rosari
AV VIA AUGUSTA	Avinguda de la Via Augusta
AV L'ERMITA	Avinguda de l'Ermita
CL ACEQUIA	Carrer de la Séquia de la Garrofera
CL BEGONIAS	Carrer de les Begònies
CL CAMPOAMOR	Carrer de Campoamor
CL CANO	Carrer de Cano
CL ENCINAS	Carrer de les Alzines
CL ESTE	Carrer de l'Est
CL JOSEP RENAU	Carrer de Josep Renau
CL MARIANA PINEDA	Carrer de Mariana Pineda
CL MISTRAL	Carrer de Mistral
CL MITGA GALTA	Carrer de Mitja Galta
CL MORERAS	Carrer de les Moreres
CL N S ASUNCION	Carrer de Nostra Senyora de l'Assumpció
CL N S DEL PUIG	Carrer de Nostra Senyora del Puig
CL NARANJOS	Carrer dels Tarongers
CL NOU D'OCTUBRE	Carrer del Nou d'Octubre
CL OBISPO AMIGO	Carrer del Bisbe Amigó
CL PAZ	Carrer de la Pau
CL PROYECTO 1 - PLAYA	
CL PROYECTO 3 - PLAYA	
CL REI EN JAUME	Carrer del Rei en Jaume
CL SUDOESTE	Carrer del Sud-oest
CL UE E-1	
CL UE E-2	
CL UE E-3	
CL VIRGEN DESAMPARADOS	Carrer de la Mare de Déu dels Desemparats
CM A	Camino/Carmen A
CM B	Camino/Carmen B
CL 1 DE MAIG	Carrer de l'1 de Maig
CL ADOLFO GIL	Carrer d'Adolfo Gil
CL ALMAS	Carrer de les Ànimes
CL BALDOMERO GARCIA	Carrer de Baldomero García
CL CAMP DEL TURIA	Carrer del Camp de Túria
CL CARLES BOIL	Carrer de Carles Boil
CL COMPOSITORA ANGELS LOPEZ	Carrer de la Compositora Ángeles López Artiga
CL DE L'ORDE DE CALATRAVA	Carrer de l'Orde de Calatrava
CL DOCTOR OCHOA	Carrer del Doctor Ochoa
CL ESCALANTE	Carrer d'Escalante
CL FIGUERES	Carrer de les Figueres
CL DE FRANCISCO TARREGA	Carrer de Francisco Tárrega
CL GRAVETA DE LA	Carrer de la Graveta
CL PINTOR JERONIMO ESPINOSA	Carrer del Pintor Jerónimo Espinosa
CL DE JORGE JUAN	Carrer de Jorge Juan
CL JOSE ITURBI	Carrer de José Iturri
CL MAESTRO CHAPI	Carrer del Mestre Chapí
CL MAESTRO SERRANO	Carrer del Mestre Serrano
CL NORTE	Carrer del Nord
CL OLIVERA	Carrer de l'Olivera
CL ESTANISLAO DE ALGIMIA	Carrer del Padre Estanislao de Algimia
CL PONT DE FIDELI	Carrer del Pont de Fideli
CL SAN PASCUAL BAILON	Carrer de Sant Pasqual Bailón
CL SAN JUAN DE RIBERA	Carrer de Sant Joan de Ribera
CL TERCIARIES CAPUTXINES DE	Carrer de les Terciàries Caputxines
CL UNIO MUSICAL MASSAMAGRELL	Carrer de la Unió Musical Massamagrell
CL AUSIAS MARCH	Carrer d'Ausiàs March
CL AZORIN	Carrer d'Azorín
CL D'ENRIC VALOR	Carrer d'Enric Valor
CL BENIGNO FERRER	Carrer de Benigne Ferrer
CL BONAIRE	Carrer de Bonaire
CL BOBALAR	Carrer de Bovalar
CL CARMEN PICHASTO	Carrer de Carmen Pichastor
CL CASETES	Carrer de Casetes
CL CERVANTES	Carrer de Cervantes
CL CORREUS	Carrer de Correus
CL DE FEDERICO GARCIA LORCA	Carrer de Federico García Lorca
CL GARROFER	Carrer de Garrofer
CL JACINTO BENAVENTE	Carrer de Jacinto Benavente
CL JOAN MIRO	Carrer de Joan Miró
CL JUAN XXIII	Carrer de Joan XXIII
CL JOANOT MARTORELL	Carrer de Joanot Martorell
CL JOSE M IZQUIERDO SORO	Carrer de José María Izquierdo Soro
CL JUAN RAMON JIMENEZ	Carrer de Juan Ramón Jiménez
CL JUAN DE JUANES	Carrer de Juan de Juanes
CL LEPANTO	Carrer de Lepanto
CL LLEBEIG	Carrer de Llebeig
CL LUIS VIVES	Carrer de Lluís Vives
CL LOPE DE VEGA	Carrer de Lope de Vega
CL MARIANO BENLLIURE	Carrer de Mairano Benlliure
CL MANUEL SANCHIS GUARNER	Carrer de Manuel Sanchis Guarner
CL MANUEL DE FALLA	Carrer de Manuel de Falla
CL MASALFASAR	Carrer de Massalfassar
CL MESTRE ROQUE GORRIZ	Carrer del Mestre Roque Gorriz
CL METGE MIQUEL SERVET	Carrer del Metge Miguel Servet
CL DE MIGUEL GIL CORELL	Carrer de Miguel Gil Corell
CL MOLA DE SEGART, DE LA	Carrer de la Mola de Segart
CL PR FRANCISCO DE ORIHUELA	Carrer del Padre Francisco de Orihuela
CL PAS DEL RACO	Carrer del Pas del Racó
CL PINTOR SOROLLA	Carrer del Pintor Sorolla
CL PROGRES	Carrer del Progrés
CL PUZOL	Carrer de Puçol
CL QUEVEDO	Carrer de Quevedo
