AL REINA SOFIA	Albereda Reina Doña Sofía
CL ALT	Alta
AV OLIMPICA	Avenida Olimpica
AV AL VEDAT	Avinguda Al Vedat
PD VEDAT	Avinguda Al Vedat
AV MARJADELLA	Avinguda Marjadella
AV BARCELONA-92	Avinguda de Barcelona 92
CL MARIÀ BENLLIURE	Avinguda de Mariano Benlliure
CL PRIMAT REIG	Avinguda de Primado Reig
AV PEREZ GALDOS	Avinguda de Pérez Galdós
AV SANT LLORENÇ	Avinguda de Sant Llorenç
AV SANTA APOL.LÒNIA	Avinguda de Santa Apolònia
AV PARE PRUDENCIO	Avinguda del Pare Prudenci
AV REI JOAN CARLES I	Avinguda del Rei Juan Carlos I
BO MARE DE DEU DE LA PALOMA	Barri de Mare de Déu de la Paloma
BO CONCEPCIO LA	Barrio Concepcio la
BO ESCALANTE	Barrio Escalante
BO SANT JOAN BOSCO	Barrio Sant Joan Bosco
CL 8 DE MARÇ DIA INTER. DONA	Calle 8 de Març Dia Inter. Dona
CL ABD-AL-RAHMAN III	Calle Abd-Al-Rahman Iii
CL ACÀCIES	Calle Acàcies
CL ADOLFO SUAREZ GONZALEZ	Calle Adolfo Suarez Gonzalez
CL ALOSA	Calle Alosa
CL AMERICO CASTRO	Calle Americo Castro
CL ANGEL GUIMERÀ	Calle Angel Guimerà
CL ANTONIO FERRANDIS	Calle Antonio Ferrandis
CL ARGENTERS	Calle Argenters
CL AVET	Calle Avet
CL BAIX	Calle Baix
CL BARRANC DEL GALLEGO	Calle Barranc del Galileo
CL BARRANCO N  1	Calle Barranco N 1
CL BARRANC DE XIVA	Calle Barranco de Chiva
CL BENALUP	Calle Benalup
CL BENIPARRELL	Calle Beniparrell
CL BOCAIRENT	Calle Bocairent
CL BON PASTOR	Calle Bon Pastor
CL CABRERA	Calle Cabrera
CL CALVARI	Calle Calvari
CL CAMPOAMOR	Calle Campoamor
CL CANAL	Calle Canal
CL CANTERERIES	Calle Cantereries
CL CAPELLERS	Calle Capellers
CL CARCAIXENT	Calle Carcaixent
CL CARRASQUERA	Calle Carrasquera
CL CASTANYER	Calle Castanyer
CL CEDRE	Calle Cedre
CL CENTRO HABANA	Calle Centro Habana
CL CIRERER	Calle Cirerer
CL CONILLERA	Calle Conillera
CL CONO SUR 1	Calle Cono Sur 1
CL CONO SUR 6	Calle Cono Sur 6
CL COVADONGA	Calle Covadonga
CL DISSENYADORA SILLA COSTA	Calle Dissenyadora Silla Costa
CL DOCTOR ALVARO LOPEZ	Calle Doctor Alvaro Lopez
CL DOCTOR CASTRO BLANCO	Calle Doctor Castro Blanco
CL ENCARNACIO L'	Calle Encarnacio l'
CL ENGUERA	Calle Enguera
CL ESCULTOR JOSE CAPUZ	Calle Escultor José Capuz
CL ESPI	Calle Espi
CL EXTREMADURA	Calle Extremadura
CL FERNANDO RODRIGUEZ FORNOS	Calle Fernando Rodríguez Fornos
CL FIGUERA	Calle Figuera
CL FONTILLES	Calle Fontilles
CL FORMENTERA	Calle Formentera
CL FRANCISCO QUEVEDO	Calle Francisco Quevedo
CL FRARE ANTONIO PANES	Calle Fray Antonio Panes
CL FREIXE	Calle Freixe
CL FUSTERS	Calle Fusters
CL GARROFERA	Calle Garrofera
CL GESMILER	Calle Gesmiler
CL GOMEZ FERRER	Calle Gómez Ferrer
CL IECLA	Calle Iecla
CL JOAN D'ÀUSTRIA	Calle Joan d'Àustria
CL JONQUERA LA	Calle Jonquera la
CL JORGE MANRIQUE	Calle Jorge Manrique
CL JUAN GIL-ALBERT	Calle Juan Gil-Albert
CL FONT	Calle La Fuente
CL LLUIS VIVES	Calle Lluis Vives
CL LOIOLA	Calle Loiola
CL LOURDES	Calle Lourdes
CL MAESTRAT EL	Calle Maestrat el
CL MANUEL AZNAR	Calle Manuel Aznar
CL MAO	Calle Mao
CL MARC	Calle Marc
CL MARE DEU DE L'ESPERANÇA	Calle Mare Deu de l'Esperança
CL MARE DEU DEL BON CONSELL	Calle Mare Deu del Bon Consell
CL MARE DE DEU DE LORETO	Calle Mare de Deu de Loreto
CL MARE DE DEU LA MACARENA	Calle Mare de Deu la Macarena
CL MELBOURNE-56	Calle Melbourne-56
CL MERLA	Calle Merla
CL MESTRE JOSE VICENTE VERDU	Calle Mestre Jose Vicente Verdu
CL METGE SANDALIO MIGUEL	Calle Metge Sandalio Miguel
CL MOLETA	Calle Moleta
CL MONTEJURRA	Calle Montejurra
CL MONTPICAIO	Calle Montpicaio
CL MORATIN	Calle Moratín
CL MOTA	Calle Mota
CL MUR	Calle Mur
CL MUSIC ANDREU CARRERES	Calle Music Andreu Carreres
CL MUSIC ENRIQUE ANDREU	Calle Music Enrique Andreu
CL MUSIC MARTI SOLER	Calle Music Marti Soler
CL MÈXIC	Calle Mèxic
CL NUM 1 BARRANC DEL GALLEGO	Calle Num 1 Barranc del Gallego
CL NUM 1 C BLANCA-C BARBETA	Calle Num 1 C Blanca-C Barbeta
CL NUM 1 CANYADA A I BIRLET	Calle Num 1 Canyada A I Birlet
CL NUM 1 CORRAL DE COCOTA	Calle Num 1 Corral de Cocota
CL NUM 1 CORRAL DEL COLERO	Calle Num 1 Corral del Colero
CL NUM 1 CORRAL DEL FRANXO	Calle Num 1 Corral del Franxo
CL NUM 1 CORRAL DEL MANYET	Calle Num 1 Corral del Manyet
CL NUM 1 FAJARDET	Calle Num 1 Fajardet
CL NUM 1 FONT DEL SAPO	Calle Num 1 Font del Sapo
CL NUM 1 MANYES-BARBETA	Calle Num 1 Manyes-Barbeta
CL NUM 1 MAS DE BARCOS	Calle Num 1 Mas de Barcos
CL NUM 1 MOLLO BLANC	Calle Num 1 Mollo Blanc
CL NUM 1 POLIGON INDUSTRIAL	Calle Num 1 Poligon Industrial
CL NUM 1 RONDA EST	Calle Num 1 Ronda Est
CL NUM 1 L'HORTETA ALTA CAMP	Calle Num 1 l'Horteta Alta Camp
CL NUM 1 LA VENTETA	Calle Num 1 la Venteta
CL NUM 10 CANYADA A I BIRLET	Calle Num 10 Canyada A I Birlet
CL NUM 10 CASETA LA PARDALA	Calle Num 10 Caseta la Pardala
CL NUM 11 CANYADA A I BIRLET	Calle Num 11 Canyada A I Birlet
CL NUM 11 CASETA LA PARDALA	Calle Num 11 Caseta la Pardala
CL NUM 12 CASETA LA PARDALA	Calle Num 12 Caseta la Pardala
CL NUM 13 CASETA LA PARDALA	Calle Num 13 Caseta la Pardala
CL NUM 14 CASETA LA PARDALA	Calle Num 14 Caseta la Pardala
CL NUM 15 CASETA LA PARDALA	Calle Num 15 Caseta la Pardala
CL NUM 16 CASETA LA PARDALA	Calle Num 16 Caseta la Pardala
CL NUM 2 BARRANC DEL GALLEGO	Calle Num 2 Barranc del Gallego
CL NUM 2 C BLANCA-C BARBETA	Calle Num 2 C Blanca-C Barbeta
CL NUM 2 CANYADA A I BIRLET	Calle Num 2 Canyada A I Birlet
CL NUM 2 CORRAL DE COCOTA	Calle Num 2 Corral de Cocota
CL NUM 2 CORRAL DEL COLERO	Calle Num 2 Corral del Colero
CL NUM 2 CORRAL DEL MANYET	Calle Num 2 Corral del Manyet
CL NUM 2 FAJARDET	Calle Num 2 Fajardet
CL NUM 2 FONT DEL SAPO	Calle Num 2 Font del Sapo
CL NUM 2 MANYES-BARBETA	Calle Num 2 Manyes-Barbeta
CL NUM 2 MAS DE BARCOS	Calle Num 2 Mas de Barcos
CL NUM 2 MOLLO BLANC	Calle Num 2 Mollo Blanc
CL NUM 2 RONDA EST	Calle Num 2 Ronda Est
CL NUM 2 L'HORTETA ALTA CAMP	Calle Num 2 l'Horteta Alta Camp
CL NUM 2 LA VENTETA	Calle Num 2 la Venteta
CL NUM 3 BARRANC DEL GALLEGO	Calle Num 3 Barranc del Gallego
CL NUM 3 C BLANCA-C BARBETA	Calle Num 3 C Blanca-C Barbeta
CL NUM 3 CANYADA A I BIRLET	Calle Num 3 Canyada A I Birlet
CL NUM 3 CORRAL DE COCOTA	Calle Num 3 Corral de Cocota
CL NUM 3 CORRAL DEL FRANXO	Calle Num 3 Corral del Franxo
CL NUM 3 FONT DEL SAPO	Calle Num 3 Font del Sapo
CL NUM 3 MANYES-BARBETA	Calle Num 3 Manyes-Barbeta
CL NUM 3 MAS DE BARCOS	Calle Num 3 Mas de Barcos
CL NUM 3 RONDA EST	Calle Num 3 Ronda Est
